PMID,Concept,Count
22646534,Stomach cancer,11
22646534,HBEGF,1
22646534,P4HB,3
22646534,EGF,36
22646534,EGFR,2
22646534,MET,1
21393565,Stomach cancer,6
21393565,MET,20
1386555,Esophageal cancer,1
1386555,Stomach cancer,1
1386555,Colorectal cancer,1
1386555,IL2,1
1386555,CD4,1
1386555,MET,1
1386555,Esophageal cancer,1
1386555,Stomach cancer,1
1386555,Colorectal cancer,1
1386555,IL2,1
1386555,CD4,1
1386555,MET,1
1386555,Esophageal cancer,1
1386555,Stomach cancer,1
1386555,Colorectal cancer,1
1386555,IL2,1
1386555,CD4,1
1386555,MET,1
