#filename	date	concept	concept_num	SemanticType	category
26158460	2015-07-10	RNA	1	Nucleic Acid, Nucleoside, or Nucleotide	Material_gene
26158460	2015-07-10	Transfection	1	Molecular Biology Research Technique	Method_Activity
26158460	2015-07-10	PROK1 gene	1	Gene or Genome	Material_gene
26158460	2015-07-10	NEU-LAXOVA SYNDROME 2	3	Disease or Syndrome	Disease_pathologic
26158460	2015-07-10	Streptococcus pyogenes	1	Bacterium	Material_species
26158460	2015-07-10	RNU6-50P gene	1	Gene or Genome	Material_gene
26158460	2015-07-10	Streptococcus	1	Bacterium	Material_species
26158460	2015-07-10	expression vector	3	Nucleic Acid, Nucleoside, or Nucleotide	Material_gene
26158460	2015-07-10	Family suidae	3	Mammal	Material_species
26158460	2015-07-10	Cell Nucleus	2	Cell Component	Material_OTC
26158460	2015-07-10	Cloning Vectors	1	Nucleic Acid, Nucleoside, or Nucleotide	Material_gene
27515175	2016-08-12	Oocytes	1	Cell	Material_OTC
27515175	2016-08-12	Mice, Transgenic	1	Mammal	Material_species
27515175	2016-08-12	Clustered Regularly Interspaced Short Palindromic Repeats	1	Nucleic Acid, Nucleoside, or Nucleotide	Material_gene
27515175	2016-08-12	Preservation Technique	1	Laboratory Procedure	Method_procedure
27515175	2016-08-12	Complication	1	Pathologic Function	Disease_pathologic
27515175	2016-08-12	Oogonia	1	Cell	Material_OTC
27515175	2016-08-12	Longitudinal Studies	1	Research Activity	Method_Activity
27515175	2016-08-12	Fertilization in Vitro	1	Therapeutic or Preventive Procedure	Method_Activity
27515175	2016-08-12	Laboratory mice	2	Mammal	Material_species
27515175	2016-08-12	SCN5A gene	3	Gene or Genome	Material_gene
27515175	2016-08-12	BTBR Mouse	9	Mammal	Material_species
27515175	2016-08-12	Animals, Genetically Modified	1	Animal	Material_species
27515175	2016-08-12	Autism Spectrum Disorders	1	Mental or Behavioral Dysfunction	Disease_pathologic
27515175	2016-08-12	Oocyte Retrieval	1	Therapeutic or Preventive Procedure	Method_Activity
27525524	2016-09-08	SUCLA2 gene	2	Gene or Genome	Material_gene
27525524	2016-09-08	fetal Erythrocytes	1	Laboratory Procedure	Method_procedure
27525524	2016-09-08	beta Thalassemia	2	Disease or Syndrome	Disease_pathologic
27525524	2016-09-08	Genomic DNA	1	Nucleic Acid, Nucleoside, or Nucleotide	Material_gene
27525524	2016-09-08	Hemoglobinopathies	2	Disease or Syndrome	Disease_pathologic
27525524	2016-09-08	Red blood cell morphology procedure	1	Laboratory Procedure	Method_procedure
27525524	2016-09-08	Hemoglobin F Disease	1	Disease or Syndrome	Disease_pathologic
27525524	2016-09-08	Anemia, Sickle Cell	3	Disease or Syndrome	Disease_pathologic
27525524	2016-09-08	HBB gene	1	Gene or Genome	Material_gene
27525524	2016-09-08	HBG2 gene	2	Gene or Genome	Material_gene
27525524	2016-09-08	Clustered Regularly Interspaced Short Palindromic Repeats	1	Nucleic Acid, Nucleoside, or Nucleotide	Material_gene
27525524	2016-09-08	HBG1 gene	2	Gene or Genome	Material_gene
25806970	2015-09-19	Bacteria	1	Bacterium	Material_species
25806970	2015-09-19	Streptomyces coelicolor	1	Bacterium	Material_species
25806970	2015-09-19	Metabolic Engineering	1	Molecular Biology Research Technique	Method_Activity
25806970	2015-09-19	Actinomycetales	1	Bacterium	Material_species
25806970	2015-09-19	Actinobacteria class	2	Bacterium	Material_species
25806970	2015-09-19	DNA Breaks, Double-Stranded	1	Cell or Molecular Dysfunction	Disease_pathologic
25806970	2015-09-19	Clustered Regularly Interspaced Short Palindromic Repeats	3	Nucleic Acid, Nucleoside, or Nucleotide	Material_gene
26267392	2015-08-13	Aluminum measurement	1	Laboratory Procedure	Method_procedure
26267392	2015-08-13	Clustered Regularly Interspaced Short Palindromic Repeats	2	Nucleic Acid, Nucleoside, or Nucleotide	Material_gene
26360626	2016-01-28	Arabidopsis	2	Plant	Material_species
26360626	2016-01-28	targeted screening	1	Therapeutic or Preventive Procedure	Method_Activity
26360626	2016-01-28	mutant	3	Cell or Molecular Dysfunction	Disease_pathologic
26360626	2016-01-28	Streptococcus	1	Bacterium	Material_species
26360626	2016-01-28	Germ Cells	1	Cell	Material_OTC
26360626	2016-01-28	Gametocyte form of protozoa	2	Eukaryote	Material_species
26360626	2016-01-28	Germ Line	2	Cell	Material_OTC
26360626	2016-01-28	Show	1	Animal	Material_species
26360626	2016-01-28	Clustered Regularly Interspaced Short Palindromic Repeats	3	Nucleic Acid, Nucleoside, or Nucleotide	Material_gene
27458028	2016-07-26	Myeloid Progenitor Cells	1	Cell	Material_OTC
27458028	2016-07-26	Homo sapiens	2	Human	Material_species
27458028	2016-07-26	SELL gene	2	Gene or Genome	Material_gene
27458028	2016-07-26	Knock-out	1	Experimental Model of Disease	Method_Activity
27458028	2016-07-26	UGCG gene	1	Gene or Genome	Material_gene
27458028	2016-07-26	MGAT1 gene	1	Gene or Genome	Material_gene
27458028	2016-07-26	C1GALT1C1 gene	1	Gene or Genome	Material_gene
27458028	2016-07-26	SELE gene	1	Gene or Genome	Material_gene
27458028	2016-07-26	L Cells (Cell Line)	1	Cell	Material_OTC
27458028	2016-07-26	Show	1	Animal	Material_species
27458028	2016-07-26	Transition Mutation	1	Cell or Molecular Dysfunction	Disease_pathologic
27458028	2016-07-26	Neoplasm Metastasis	1	Neoplastic Process	Disease_pathologic
27458028	2016-07-26	Clustered Regularly Interspaced Short Palindromic Repeats	1	Nucleic Acid, Nucleoside, or Nucleotide	Material_gene
26148499	2015-07-07	Entire upper arm	1	Body Part, Organ, or Organ Component	Material_OTC
26148499	2015-07-07	Polymerase Chain Reaction	1	Molecular Biology Research Technique	Method_Activity
26148499	2015-07-07	Oligonucleotide Primers	1	Nucleic Acid, Nucleoside, or Nucleotide	Material_gene
26148499	2015-07-07	Saccharomyces cerevisiae	1	Fungus	Material_species
26148499	2015-07-07	Genomic DNA	2	Nucleic Acid, Nucleoside, or Nucleotide	Material_gene
