#filename	date	concept_num	concept
19334495	2009-04-01	Stomach Carcinoma	1
19334495	2009-04-01	TGM2 gene	2
20981221	2010-10-28	Nodular Neoplasm	2
20981221	2010-10-28	tumor growth	2
20981221	2010-10-28	Liver carcinoma	3
20981221	2010-10-28	Recurrent Hepatocellular Carcinoma	2
16536256	2006-03-15	Stomach Carcinoma	1
16536256	2006-03-15	NODAL gene	1
16536256	2006-03-15	Carcinoma, Signet Ring Cell	1
16536256	2006-03-15	Malignant neoplasm of gastrointestinal tract	1
16536256	2006-03-15	Malignant neoplasm of pancreas	1
16536256	2006-03-15	Carcinoma of ampulla of Vater	3
16536256	2006-03-15	Neoplasm Metastasis	1
12661188	2003-03-28	Malignant neoplasm of stomach	1
12661188	2003-03-28	RRH gene	7
12661188	2003-03-28	Malignant neoplasm of gastrointestinal tract	2
12661188	2003-03-28	Malignant neoplasm of pancreas	2
12661188	2003-03-28	Rectal Carcinoma	1
12661188	2003-03-28	Malignant neoplasm of esophagus	2
12661188	2003-03-28	Malignant tumor of colon	1
14506641	2003-09-24	Renal Cell Carcinoma	1
14506641	2003-09-24	Gastric Adenocarcinoma	1
14506641	2003-09-24	Squamous cell carcinoma	1
14506641	2003-09-24	Thymoma	1
14506641	2003-09-24	Sarcoma, Epithelioid	1
14506641	2003-09-24	Prostate carcinoma	3
14506641	2003-09-24	Malignant Neoplasms	4
14506641	2003-09-24	Carcinoma, Transitional Cell	1
14506641	2003-09-24	AMACR gene	16
14506641	2003-09-24	Carcinoma, Neuroendocrine	1
14506641	2003-09-24	Malignant neoplasm of urinary bladder	1
14506641	2003-09-24	synovial sarcoma	1
14506641	2003-09-24	Germ cell tumor	1
14506641	2003-09-24	Malignant neoplasm of kidney	1
14506641	2003-09-24	Adenocarcinoma	2
14506641	2003-09-24	melanoma	1
14506641	2003-09-24	Basal cell carcinoma	1
14506641	2003-09-24	Soft Tissue Neoplasms	1
14506641	2003-09-24	Liver carcinoma	1
12640108	2003-03-17	SMAD4 wt Allele	9
12640108	2003-03-17	SMAD4 gene	1
12640108	2003-03-17	Carcinoma of ampulla of Vater	2
12640108	2003-03-17	Adenoma	3
12640108	2003-03-17	Adenocarcinoma of ampulla of Vater	3
12640108	2003-03-17	KRAS gene	3
12640108	2003-03-17	Invasive Carcinoma	1
12640108	2003-03-17	K-ras Oncogene	2
12640108	2003-03-17	Intestinal Neoplasms	1
12640108	2003-03-17	Mucinous Adenocarcinoma	1
12640108	2003-03-17	Invasive Malignant Neoplasm	1
12640108	2003-03-17	Pancreatic adenocarcinoma	3
12640108	2003-03-17	Secondary malignant neoplasm of lymph node	1
20699039	2010-08-11	Cancer of Head	1
20699039	2010-08-11	Pancreatic carcinoma	1
20699039	2010-08-11	Periampullary carcinoma	1
20699039	2010-08-11	Carcinoma of head of pancreas	2
19787233	2009-09-29	Endometrial adenocarcinoma	1
19787233	2009-09-29	Ovarian Carcinoma	1
19787233	2009-09-29	Carcinoma, Transitional Cell	1
19787233	2009-09-29	Breast Carcinoma	1
19787233	2009-09-29	Secondary malignant neoplasm of lymph node	2
19787233	2009-09-29	Neoplasm Metastasis	1
27402678	2016-07-12	Cervix carcinoma	1
27402678	2016-07-12	STT3A gene	6
8396897	1993-10-08	Neoplasm Metastasis	1
8396897	1993-10-08	Tumor necrosis	1
8396897	1993-10-08	Liver carcinoma	3
22089259	2012-04-24	Gallbladder Carcinoma	6
22089259	2012-04-24	NODAL gene	2
20609781	2010-07-08	Neoplasm Metastasis	3
20609781	2010-07-08	Carcinoma of lung	1
20609781	2010-07-08	Secondary malignant neoplasm of lymph node	3
20609781	2010-07-08	Small cell carcinoma of lung	6
9393580	1997-12-19	Recurrent Malignant Neoplasm	3
9393580	1997-12-19	Gallbladder Carcinoma	4
9393580	1997-12-19	Malignant neoplasm of gallbladder	3
9393580	1997-12-19	Secondary malignant neoplasm of lymph node	1
9393580	1997-12-19	NODAL gene	2
21492330	2011-04-15	Cholangiocarcinoma	5
21492330	2011-04-15	PDGFB gene	1
21492330	2011-04-15	MAP2K2 gene	1
21492330	2011-04-15	VEGFA gene	1
21492330	2011-04-15	c-erbB-1 Proto-Oncogenes	1
21492330	2011-04-15	MTOR gene	1
25736055	2015-05-22	FANCA gene	1
25736055	2015-05-22	RAD51 gene	1
25736055	2015-05-22	Biliary Tract Cancer	7
25736055	2015-05-22	FANCD2 gene	2
21492334	2011-04-15	Adenomatous Polyposis Coli	7
21492334	2011-04-15	Multiple polyps	1
21492334	2011-04-15	Multiple adenomatous polyps	2
21492334	2011-04-15	Adenoma	1
8708720	1996-09-06	Colorectal Carcinoma	2
8708720	1996-09-06	Colon Carcinoma	1
8708720	1996-09-06	Occult Malignancy	1
8708720	1996-09-06	Colorectal Cancer	1
24760012	2014-04-24	metastatic liver carcinoma	2
24760012	2014-04-24	Liver and Intrahepatic Biliary Tract Carcinoma	1
24760012	2014-04-24	Liver carcinoma	3
24760012	2014-04-24	Secondary malignant neoplasm of lymph node	5
24760012	2014-04-24	Neoplasm Metastasis	6
22969912	2012-09-12	Biliary Tract Cancer	6
21266086	2011-02-14	Hemangioma	7
21266086	2011-02-14	Malignant Vascular Neoplasm	1
21266086	2011-02-14	Squamous cell carcinoma	2
21266086	2011-02-14	Secondary malignant neoplasm of lymph node	1
25678238	2015-06-22	Cholangiocarcinoma	2
25678238	2015-06-22	Malignant Neoplasms	1
23504585	2013-07-15	Carcinoma of ampulla of Vater	2
