#filename	date	concept_num	concept
26576639	2015-11-20	PKM	11
26576639	2015-11-20	SDC2	5
26095288	2016-01-15	LAG3	11
26095288	2016-01-15	CLTC	5
25633279	2015-01-30	AKT1	1
25633279	2015-01-30	PTPRO	9
24935374	2014-06-17	SERPINB2	1
24935374	2014-06-17	CTSL	1
24935374	2014-06-17	VEGFA	1
24935374	2014-06-17	EREG	1
15467712	2005-02-17	RASSF1	4
15467712	2005-02-17	CDKN2B	2
15467712	2005-02-17	TP73	2
15467712	2005-02-17	MGMT	2
15467712	2005-02-17	GSTP1	3
15467712	2005-02-17	DAPK1	2
15467712	2005-02-17	CDKN2A	2
24739824	2014-04-17	PIK3CA	2
15842941	2005-04-21	CD1A	2
15842941	2005-04-21	BIRC5	8
21383778	2011-03-08	CYP1A1	1
26617696	2015-11-30	PRDX1	13
26617696	2015-11-30	NODAL	1
8304312	1994-03-07	HCCS	1
28062160	2017-01-07	SFRP1	12
18575715	2008-06-25	LAMC2	1
18575715	2008-06-25	LAMA2	1
17111416	2007-01-31	CTGF	9
24703811	2014-04-22	OSM	1
21095216	2010-12-28	IL1B	1
27221842	2016-05-25	NAPSA	3
21745515	2011-09-19	NOD1	8
21745515	2011-09-19	NOD2	6
18329969	2008-08-04	MUC5AC	1
18329969	2008-08-04	KRT20	1
18329969	2008-08-04	MUC2	2
18329969	2008-08-04	KRT7	1
24518688	2014-12-19	HCCS	1
17150367	2007-01-30	NODAL	4
19760416	2010-02-16	HCCS	3
23522257	2013-03-25	SOCS3	9
17553067	2007-08-30	HCCS	1
17553067	2007-08-30	CHL1	3
15693199	2005-02-07	CDKN2A	2
21084962	2010-12-01	MUC5AC	1
21084962	2010-12-01	MUC2	1
21084962	2010-12-01	PEMT	1
21084962	2010-12-01	MUC6	1
12368220	2002-10-07	MUC5AC	5
12368220	2002-10-07	MUC2	5
9496503	1998-04-24	NODAL	1
19003875	2008-12-01	HCCS	1
11783103	2002-01-09	NODAL	1
22267596	2012-12-11	APMAP	2
27014623	2016-03-25	IDH2	1
16550611	2006-04-11	TUBB	1
16550611	2006-04-11	ACTB	1
16550611	2006-04-11	PRKAR1A	3
16550611	2006-04-11	MARCKS	1
7533786	1995-04-13	NLRP12	1
7533786	1995-04-13	EDN1	1
15181454	2004-10-20	BRAF	3
15181454	2004-10-20	ZHX2	1
11753052	2001-12-25	SLC4A3	1
15039188	2004-03-24	NODAL	2
22996048	2012-11-26	NODAL	2
7940169	1994-11-16	NODAL	2
24096036	2013-12-09	MIR122	1
24760391	2014-07-21	NODAL	1
25713876	2015-02-25	FOXP3	6
26134446	2015-07-07	NODAL	2
21735144	2012-08-24	NODAL	1
21735144	2012-08-24	NDRG1	1
21609571	2011-05-25	MTDH	19
9387280	1998-01-20	NODAL	1
10832443	2000-06-13	SH3BP5	1
22213475	2012-05-30	CDK1	1
22213475	2012-05-30	CCNB1	1
22213475	2012-05-30	AKT1	4
22213475	2012-05-30	GPX1	1
22213475	2012-05-30	ABCC2	1
22213475	2012-05-30	BCL2	1
22213475	2012-05-30	NFE2L2	6
22213475	2012-05-30	GSS	1
16857800	2006-07-21	MUC4	14
16857800	2006-07-21	NODAL	1
16857800	2006-07-21	PEMT	5
10919052	2000-12-07	NODAL	1
27627808	2016-09-15	FRS2	1
27627808	2016-09-15	AKT1	1
27627808	2016-09-15	FGFR1	1
25435928	2014-12-01	KRT19	1
7505508	1994-01-27	SLC4A3	2
7505508	1994-01-27	KRT19	1
17920783	2007-11-23	NODAL	1
24863943	2014-10-09	MMP7	2
24863943	2014-10-09	CYP1B1	2
24863943	2014-10-09	CYP1A1	2
24863943	2014-10-09	PLCE1	1
24863943	2014-10-09	NR1H3	2
24172289	2014-01-17	ADAM17	14
23665508	2013-07-23	CKAP4	5
19020710	2008-11-21	SARNP	1
19020710	2008-11-21	NDRG1	7
17928076	2007-11-20	TAS1R3	15
11571535	2001-09-25	HCCS	4
11710692	2001-11-16	KRT19	2
11710692	2001-11-16	HLA-H	1
11710692	2001-11-16	PEMT	2
11710692	2001-11-16	MARK2	1
10726968	2000-04-13	BCL2	1
26210654	2015-10-13	MUC5AC	6
26210654	2015-10-13	MUC2	1
26210654	2015-10-13	MUC6	2
27725202	2016-10-11	KRT5	1
27725202	2016-10-11	CDKN2A	1
27739441	2016-10-14	NODAL	1
27739441	2016-10-14	MUC2	1
27739441	2016-10-14	PEMT	1
27739441	2016-10-14	MUC6	1
27739441	2016-10-14	MUC5AC	1
27739441	2016-10-14	KRT20	1
27739441	2016-10-14	KRT7	1
21876633	2011-08-30	HOXA2	2
21876633	2011-08-30	HOXA11-AS	2
21876633	2011-08-30	HOXB4	2
21876633	2011-08-30	HOXA5	2
21876633	2011-08-30	HOXD13	2
21843260	2011-08-16	NODAL	1
26526836	2015-12-21	GPBAR1	2
26526836	2015-12-21	NR1H4	2
27250121	2016-06-02	SYP	1
15613852	2004-12-22	SYP	1
15613852	2004-12-22	ENO2	1
15613852	2004-12-22	VIM	2
27427262	2016-07-18	NODAL	1
16794394	2006-06-23	NODAL	1
16794394	2006-06-23	KRT8	1
16794394	2006-06-23	POMP	3
1530292	1992-10-20	PDLIM4	1
1530292	1992-10-20	ARL4C	1
1530292	1992-10-20	ADM	1
19287191	2009-03-16	VDAC1	1
19287191	2009-03-16	CALB1	1
19287191	2009-03-16	ASPH	1
19287191	2009-03-16	ANXA8	1
19287191	2009-03-16	UCHL1	1
19287191	2009-03-16	LDHB	1
19287191	2009-03-16	CCND2	1
19287191	2009-03-16	GPX1	1
19287191	2009-03-16	MAL2	1
19287191	2009-03-16	TGFBI	1
19287191	2009-03-16	CES2	1
15737463	2005-03-01	RETN	1
23651149	2013-10-30	NODAL	2
18539957	2008-06-09	HCCS	2
19591162	2009-07-15	NODAL	1
23320827	2013-01-31	ACTR3	5
21254169	2011-01-21	AKT1	6
21254169	2011-01-21	TWIST1	1
21254169	2011-01-21	PSMD10	8
22271564	2012-05-30	PEMT	1
22271564	2012-05-30	NCAM1	1
24108553	2013-10-10	NODAL	1
16556412	2006-03-24	VEGFC	5
16373701	2005-12-23	MTAP	11
16373701	2005-12-23	CDKN2A	3
10414182	1999-09-14	HCCS	1
21106111	2010-12-20	MUC5AC	5
21106111	2010-12-20	MUC2	1
21106111	2010-12-20	PEMT	5
21106111	2010-12-20	KRT7	1
21106111	2010-12-20	MUC6	5
21217519	2011-04-20	MUC5B	4
28100868	2017-01-19	BAX	1
28100868	2017-01-19	DNAJB9	1
28100868	2017-01-19	AKT1	1
28100868	2017-01-19	HSPA5	1
28100868	2017-01-19	BCL2	1
28100868	2017-01-19	HMOX1	1
26287365	2015-08-20	AKT1	5
19283466	2009-07-29	IL1A	2
21331530	2011-06-09	NODAL	1
8765416	1996-09-17	IL1B	1
17955299	2008-02-15	NODAL	1
