#filename	date	concept_num	concept
17906958	2008-01-15	Bile duct cancer	9
26576639	2015-11-20	Bile duct cancer	11
10564951	1999-12-22	Bile duct cancer	4
10564951	1999-12-22	Liver cancer	1
9062875	1997-06-27	Bile duct cancer	2
9062875	1997-06-27	Liver cancer	5
24935374	2014-06-17	Bile duct cancer	2
15467712	2005-02-17	Bile duct cancer	17
2291062	1991-04-04	Bile duct cancer	4
2291062	1991-04-04	Esophageal cancer	1
2291062	1991-04-04	Stomach cancer	2
2291062	1991-04-04	Colorectal cancer	3
23026605	2012-10-02	Liver cancer	7
1404961	1992-11-02	Pancreatic Cancer	2
1404961	1992-11-02	Bile duct cancer	4
1404961	1992-11-02	Liver cancer	2
6163438	1981-05-21	Bile duct cancer	2
24739824	2014-04-17	Bile duct cancer	5
26388924	2015-09-21	Bile duct cancer	2
15842941	2005-04-21	Bile duct cancer	1
15842941	2005-04-21	Stomach cancer	1
15842941	2005-04-21	Colorectal cancer	1
21383778	2011-03-08	Pancreatic Cancer	1
21383778	2011-03-08	Bile duct cancer	3
21383778	2011-03-08	Liver cancer	1
26617696	2015-11-30	Bile duct cancer	6
17623559	2007-07-11	Colorectal cancer	1
23102615	2013-02-12	Bile duct cancer	2
23102615	2013-02-12	Liver cancer	2
8304312	1994-03-07	Liver cancer	10
11601193	2001-10-16	Pancreatic Cancer	1
28062160	2017-01-07	Bile duct cancer	5
18575715	2008-06-25	Bile duct cancer	3
17111416	2007-01-31	Liver cancer	1
23328228	2013-03-11	Pancreatic Cancer	2
24703811	2014-04-22	Bile duct cancer	6
8985270	1997-01-30	Liver cancer	5
9869396	1999-03-04	Bile duct cancer	2
9869396	1999-03-04	Liver cancer	9
19593617	2009-07-13	Liver cancer	6
19533815	2009-06-17	Bile duct cancer	5
27221842	2016-05-25	Bile duct cancer	2
2778868	1989-10-18	Stomach cancer	1
15770375	2005-07-21	Bile duct cancer	4
18329969	2008-08-04	Bile duct cancer	13
18329969	2008-08-04	Colorectal cancer	2
18329969	2008-08-04	Liver cancer	7
24518688	2014-12-19	Liver cancer	4
25689248	2015-03-03	Bile duct cancer	10
17150367	2007-01-30	Colorectal cancer	2
19760416	2010-02-16	Bile duct cancer	6
19760416	2010-02-16	Liver cancer	3
17553067	2007-08-30	Bile duct cancer	3
17553067	2007-08-30	Liver cancer	3
25385169	2014-11-13	Bile duct cancer	5
25385169	2014-11-13	Liver cancer	9
15693199	2005-02-07	Bile duct cancer	2
21084962	2010-12-01	Bile duct cancer	4
23108083	2013-09-05	Stomach cancer	2
25663014	2015-06-04	Bile duct cancer	3
24960403	2014-07-30	Bile duct cancer	5
24960403	2014-07-30	Colorectal cancer	1
12225344	2002-09-12	Colorectal cancer	1
24620638	2014-03-13	Liver cancer	1
9496503	1998-04-24	Bile duct cancer	4
19003875	2008-12-01	Liver cancer	10
23205306	2012-12-03	Pancreatic Cancer	5
22267596	2012-12-11	Colorectal cancer	5
16550611	2006-04-11	Bile duct cancer	2
15181454	2004-10-20	Bile duct cancer	9
21467772	2011-04-06	Pancreatic Cancer	1
26259410	2015-08-11	Bile duct cancer	3
22996048	2012-11-26	Bile duct cancer	6
20205504	2010-05-06	Bile duct cancer	8
20205504	2010-05-06	Pancreatic Cancer	2
7940169	1994-11-16	Colorectal cancer	1
17374575	2007-03-21	Bile duct cancer	13
17374575	2007-03-21	Liver cancer	10
25201500	2015-02-04	Bile duct cancer	3
24760391	2014-07-21	Bile duct cancer	9
24760391	2014-07-21	Liver cancer	5
25713876	2015-02-25	Pancreatic Cancer	1
25713876	2015-02-25	Bile duct cancer	2
25713876	2015-02-25	Liver cancer	2
26134446	2015-07-07	Bile duct cancer	6
21833756	2011-11-14	Bile duct cancer	2
21735144	2012-08-24	Bile duct cancer	7
26064088	2015-06-11	Bile duct cancer	7
26066735	2015-08-10	Bile duct cancer	7
17884795	2007-09-21	Liver cancer	4
10832443	2000-06-13	Stomach cancer	1
22213475	2012-05-30	Bile duct cancer	3
22213475	2012-05-30	Liver cancer	1
26194257	2016-04-28	Bile duct cancer	5
19194830	2009-03-17	Bile duct cancer	4
16446870	2006-01-31	Bile duct cancer	8
16446870	2006-01-31	Pancreatic Cancer	2
16857800	2006-07-21	Bile duct cancer	1
10919052	2000-12-07	Bile duct cancer	4
8928700	1996-11-13	Bile duct cancer	1
8928700	1996-11-13	Liver cancer	2
25031730	2014-07-17	Bile duct cancer	7
27627808	2016-09-15	Bile duct cancer	1
25435928	2014-12-01	Bile duct cancer	9
27720942	2016-10-10	Bile duct cancer	5
10861574	2000-07-13	Liver cancer	6
6191683	1983-08-26	Liver cancer	2
26167090	2015-07-13	Liver cancer	3
26169362	2015-07-14	Liver cancer	3
24863943	2014-10-09	Bile duct cancer	7
17390167	2007-03-28	Bile duct cancer	4
15998436	2005-07-06	Liver cancer	10
24172289	2014-01-17	Liver cancer	2
2722367	1989-06-27	Bile duct cancer	1
23665508	2013-07-23	Bile duct cancer	5
23480754	2013-03-13	Bile duct cancer	2
23480754	2013-03-13	Liver cancer	1
1413104	1992-11-25	Bile duct cancer	1
15632703	2005-01-05	Pancreatic Cancer	1
11825477	2002-02-04	Liver cancer	7
19020710	2008-11-21	Liver cancer	8
26549274	2016-02-26	Liver cancer	3
26190621	2015-07-20	Liver cancer	9
17928076	2007-11-20	Bile duct cancer	1
24630393	2014-05-20	Bile duct cancer	3
11571535	2001-09-25	Liver cancer	5
11710692	2001-11-16	Bile duct cancer	2
11710692	2001-11-16	Liver cancer	5
10726968	2000-04-13	Liver cancer	2
26210654	2015-10-13	Bile duct cancer	3
27725202	2016-10-11	Bile duct cancer	1
15771027	2005-03-17	Bile duct cancer	5
25032957	2014-07-18	Liver cancer	6
27739441	2016-10-14	Pancreatic Cancer	1
27739441	2016-10-14	Bile duct cancer	8
21876633	2011-08-30	Bile duct cancer	2
21843260	2011-08-16	Bile duct cancer	5
14625757	2004-02-19	Bile duct cancer	5
27747092	2016-10-17	Bile duct cancer	7
15613852	2004-12-22	Liver cancer	2
15519654	2004-11-02	Bile duct cancer	11
16794394	2006-06-23	Bile duct cancer	7
11398883	2001-06-11	Bile duct cancer	1
23995711	2013-10-04	Bile duct cancer	6
19856070	2009-10-26	Liver cancer	7
1530292	1992-10-20	Pancreatic Cancer	1
1530292	1992-10-20	Stomach cancer	1
1530292	1992-10-20	Colorectal cancer	1
1530292	1992-10-20	Liver cancer	2
11180868	2001-02-22	Bile duct cancer	2
25165040	2015-07-07	Liver cancer	6
20202823	2010-03-22	Bile duct cancer	13
