#filename	date	concept_num	concept
21920464	2011-11-21	CD1A	1
21920464	2011-11-21	TLR4	17
15853773	2005-08-19	TCF7L2	4
15853773	2005-08-19	GLCE	11
20164542	2010-02-18	CCNA1	1
20164542	2010-02-18	TOP1	1
20164542	2010-02-18	HSPD1	1
18198215	2008-06-03	ALOX15	19
20682317	2010-12-03	IGF2-AS	11
20682317	2010-12-03	BRAF	1
24141722	2013-12-09	NEDD4	8
24141722	2013-12-09	GTF2H3	7
15855171	2005-06-27	BAX	1
22000951	2012-06-01	MSH6	2
1912516	1991-11-13	B2M	2
22180060	2012-03-02	EIF5A2	1
9030252	1997-03-13	CCNB1	2
20593958	2010-07-02	NODAL	1
3209300	1989-02-16	NODAL	1
16387664	2006-01-02	SPAG5	1
23085750	2016-01-01	MKI67	1
23085750	2016-01-01	ASCL2	1
23085750	2016-01-01	CEMIP	13
19088028	2008-12-17	BCL2L1	2
19088028	2008-12-17	BCL2	4
19088028	2008-12-17	MCL1	5
19088028	2008-12-17	BAK1	2
14695170	2003-12-25	MAPK9	1
14695170	2003-12-25	AKT1	1
18451165	2008-05-02	CDKN1B	7
18451165	2008-05-02	XIAP	1
18451165	2008-05-02	BIRC5	1
18451165	2008-05-02	NDE1	1
18451165	2008-05-02	BIRC2	1
16237223	2005-10-20	MLH1	3
16237223	2005-10-20	MSH6	3
17106246	2007-02-01	BCL2	2
17106246	2007-02-01	BCL2L1	1
7590774	1995-11-30	EPCAM	1
24385213	2014-03-04	BRAF	1
24385213	2014-03-04	CHD7	2
24385213	2014-03-04	CHD8	1
22689960	2012-07-04	RAG2	1
8912865	1997-01-07	NQO1	4
20133737	2010-02-10	AKT1	8
20133737	2010-02-10	MTOR	2
20133737	2010-02-10	AKT2	5
20133737	2010-02-10	GSK3B	2
20133737	2010-02-10	PDPK1	3
23626804	2013-04-29	RAG2	1
11956307	2002-04-16	MSH2	3
11956307	2002-04-16	MLH1	2
10404064	1999-08-05	MSH2	3
10404064	1999-08-05	MLH1	3
10404064	1999-08-05	MSH6	2
12717839	2003-04-28	BAX	2
12717839	2003-04-28	TNFSF10	8
9716180	1998-10-23	CYP26A1	5
23909892	2013-09-06	PLK1	1
8631033	1996-07-03	NME1	5
