#filename	date	concept_num	concept
21920464	2011-11-21	Colorectal cancer	3
21925954	2012-02-07	Colorectal cancer	2
20969713	2011-11-08	Colorectal cancer	5
15853773	2005-08-19	Colorectal cancer	1
20164542	2010-02-18	Colorectal cancer	5
18198215	2008-06-03	Colorectal cancer	4
20682317	2010-12-03	Colorectal cancer	5
20804835	2010-10-11	Colorectal cancer	4
24141722	2013-12-09	Colorectal cancer	1
15855171	2005-06-27	Colorectal cancer	1
22000951	2012-06-01	Colorectal cancer	1
22045708	2011-11-02	Colorectal cancer	2
1912516	1991-11-13	Colorectal cancer	1
22180060	2012-03-02	Colorectal cancer	1
19915610	2010-02-04	Colorectal cancer	8
18685914	2008-08-28	Colorectal cancer	4
9030252	1997-03-13	Colorectal cancer	3
20593958	2010-07-02	Colorectal cancer	6
3209300	1989-02-16	Colorectal cancer	5
16371718	2005-12-22	Colorectal cancer	3
16387664	2006-01-02	Colorectal cancer	3
24213116	2013-11-11	Colorectal cancer	4
23085750	2016-01-01	Colorectal cancer	1
19088028	2008-12-17	Colorectal cancer	4
14695170	2003-12-25	Colorectal cancer	2
14744764	2004-01-27	Colorectal cancer	1
18451165	2008-05-02	Colorectal cancer	8
11337555	2001-05-04	Colorectal cancer	3
15325613	2004-08-24	Colorectal cancer	3
22210091	2012-01-30	Colorectal cancer	2
17106246	2007-02-01	Colorectal cancer	2
7590774	1995-11-30	Colorectal cancer	3
24385213	2014-03-04	Colorectal cancer	9
22689960	2012-07-04	Colorectal cancer	3
22895966	2012-08-16	Colorectal cancer	6
8912865	1997-01-07	Colorectal cancer	1
10744679	2000-05-08	Colorectal cancer	4
20133737	2010-02-10	Colorectal cancer	2
23626804	2013-04-29	Colorectal cancer	4
11097346	2001-03-07	Colorectal cancer	2
10404064	1999-08-05	Pancreatic Cancer	1
10404064	1999-08-05	Stomach cancer	1
12717839	2003-04-28	Colorectal cancer	3
12093475	2002-07-02	Colorectal cancer	1
9716180	1998-10-23	Colorectal cancer	2
23909892	2013-09-06	Colorectal cancer	1
8631033	1996-07-03	Colorectal cancer	3
8252812	1994-01-11	Colorectal cancer	1
23280333	2013-04-09	Colorectal cancer	6
19406918	2009-06-29	Colorectal cancer	4
20198318	2010-03-03	Colorectal cancer	10
24492728	2014-02-04	Colorectal cancer	1
1330993	1992-12-23	Colorectal cancer	7
11709755	2001-12-13	Colorectal cancer	2
23504553	2013-05-23	Colorectal cancer	6
19784072	2010-01-07	Colorectal cancer	1
24437456	2014-07-31	Colorectal cancer	4
11867212	2002-02-27	Colorectal cancer	1
22173548	2012-02-16	Colorectal cancer	8
19840272	2010-04-09	Colorectal cancer	1
19581179	2009-07-07	Colorectal cancer	1
15800999	2005-03-31	Colorectal cancer	5
17898707	2007-11-13	Colorectal cancer	3
11383215	2001-05-31	Colorectal cancer	3
10880764	2000-09-06	Colorectal cancer	2
23917355	2013-08-14	Colorectal cancer	2
15571286	2004-12-01	Colorectal cancer	1
12810668	2003-06-17	Colorectal cancer	3
19124802	2009-03-02	Colorectal cancer	4
17065421	2006-10-26	Colorectal cancer	5
17603079	2007-08-24	Colorectal cancer	5
17575241	2007-06-18	Colorectal cancer	8
9494560	1998-03-26	Colorectal cancer	1
22704353	2012-06-18	Colorectal cancer	1
16204073	2005-10-05	Colorectal cancer	3
9880821	1999-03-16	Colorectal cancer	6
19679060	2009-08-14	Colorectal cancer	9
21867544	2011-09-20	Colorectal cancer	1
10686540	2000-04-07	Colorectal cancer	1
8246684	1994-01-03	Colorectal cancer	2
9321666	1997-12-02	Colorectal cancer	3
20691680	2010-09-24	Colorectal cancer	2
23766854	2013-06-14	Colorectal cancer	2
17992026	2007-11-09	Colorectal cancer	4
11280764	2001-03-30	Pancreatic Cancer	3
11280764	2001-03-30	Colorectal cancer	1
9589360	1998-06-24	Colorectal cancer	2
9354462	1997-11-20	Colorectal cancer	4
23271678	2013-02-07	Colorectal cancer	1
23615712	2013-07-01	Colorectal cancer	4
21479692	2011-09-13	Colorectal cancer	6
10674022	2000-03-02	Colorectal cancer	1
12885482	2003-07-29	Colorectal cancer	8
21732059	2012-03-06	Colorectal cancer	8
15346641	2004-09-06	Colorectal cancer	2
7624362	1995-08-31	Colorectal cancer	1
21317874	2011-03-16	Colorectal cancer	1
17639423	2007-11-16	Colorectal cancer	2
8697967	1996-09-05	Colorectal cancer	9
24816724	2014-08-13	Colorectal cancer	1
11135372	2001-01-26	Colorectal cancer	5
16893879	2006-11-10	Colorectal cancer	7
16007118	2005-11-18	Stomach cancer	4
16007118	2005-11-18	Colorectal cancer	4
2347713	1990-07-06	Colorectal cancer	2
16917399	2006-08-18	Colorectal cancer	6
10981668	2000-09-26	Colorectal cancer	1
10981668	2000-09-26	Liver cancer	1
15736419	2005-03-01	Colorectal cancer	2
22897570	2012-09-05	Colorectal cancer	2
18974965	2008-12-18	Colorectal cancer	5
12100028	2002-07-08	Colorectal cancer	10
18052628	2007-12-06	Colorectal cancer	1
8843115	1997-01-08	Colorectal cancer	1
17297449	2007-07-19	Colorectal cancer	1
8725069	1996-09-19	Colorectal cancer	5
12631623	2003-03-12	Colorectal cancer	1
18451174	2008-05-02	Colorectal cancer	4
16227914	2005-10-17	Colorectal cancer	2
16898869	2006-08-10	Colorectal cancer	3
11891321	2002-03-20	Colorectal cancer	1
18942899	2008-10-23	Colorectal cancer	2
19701074	2009-10-28	Colorectal cancer	2
22278361	2012-02-14	Colorectal cancer	3
20414778	2010-07-12	Colorectal cancer	4
20414778	2010-07-12	Liver cancer	1
15940626	2005-06-07	Colorectal cancer	2
20949628	2010-12-24	Colorectal cancer	6
16685453	2006-05-10	Colorectal cancer	5
18987336	2009-01-01	Colorectal cancer	2
16054567	2005-08-01	Colorectal cancer	2
21056497	2011-01-18	Colorectal cancer	2
21056497	2011-01-18	Liver cancer	8
20010872	2010-03-04	Colorectal cancer	7
23887157	2013-10-21	Colorectal cancer	19
17717836	2007-08-24	Colorectal cancer	2
22009326	2012-01-17	Colorectal cancer	6
20408858	2010-07-14	Colorectal cancer	3
17103258	2007-01-25	Colorectal cancer	3
20680106	2010-08-03	Colorectal cancer	2
9468023	1998-04-03	Colorectal cancer	2
10328163	1999-07-20	Colorectal cancer	2
15687259	2005-02-02	Colorectal cancer	1
11760904	2001-12-11	Colorectal cancer	7
22037943	2011-12-14	Colorectal cancer	4
17867575	2007-09-17	Colorectal cancer	1
22509371	2012-04-17	Colorectal cancer	7
23285162	2013-01-03	Colorectal cancer	6
23422094	2013-04-17	Colorectal cancer	1
17066435	2007-01-02	Colorectal cancer	2
11818965	2002-01-30	Colorectal cancer	1
15892897	2005-06-20	Colorectal cancer	3
22159423	2012-02-01	Colorectal cancer	7
20716632	2010-09-03	Colorectal cancer	7
20544845	2010-06-14	Stomach cancer	1
20544845	2010-06-14	Colorectal cancer	1
20167130	2010-03-11	Colorectal cancer	1
