#filename	date	concept_num	concept
24154755	2013-10-24	MIB1	1
15492291	2004-10-19	MMP2	7
28465635	2017-05-03	AKT1	1
28465635	2017-05-03	MTOR	1
25337271	2014-10-22	LAMB3	2
20935475	2010-10-27	AKT1	1
26648300	2015-12-09	HNRNPD	11
28376920	2017-04-05	SMAD4	2
28376920	2017-04-05	CDKN2A	2
22095881	2012-03-06	CCNB1	1
12706106	2003-04-22	RABGAP1L	2
12706106	2003-04-22	NODAL	1
26166223	2016-04-20	XRCC4	3
26166223	2016-04-20	PRKDC	3
27935117	2016-12-09	CKS1B	10
25631780	2015-03-16	NADSYN1	2
25631780	2015-03-16	DHCR7	2
11509124	2001-08-17	COIL	2
16480952	2006-02-20	MAPK8	2
16480952	2006-02-20	IVL	1
16480952	2006-02-20	KRT4	1
28319330	2017-03-20	FEN1	1
16866852	2006-07-26	NODAL	1
25704506	2015-07-29	SOX2	9
17803656	2007-09-06	MINA	11
27057430	2016-04-08	FOXP3	1
28442917	2017-04-26	NODAL	4
28442917	2017-04-26	IFNG	5
17308098	2007-02-19	MAPK3	2
21811761	2011-08-29	PDPN	7
21811761	2011-08-29	SOX2	6
18704592	2008-09-22	NODAL	3
25620088	2015-03-30	CYR61	7
25620088	2015-03-30	MSR1	8
25620088	2015-03-30	MAP2K1	2
25866570	2015-04-13	HGD	1
25866570	2015-04-13	ESD	1
18376186	2008-03-31	NODAL	10
24566863	2014-05-19	CCND1	1
24566863	2014-05-19	CCNE2	1
17908965	2007-10-02	CMTM5	11
25233932	2014-11-01	CDH17	1
23801316	2013-06-26	VTN	4
23416461	2013-04-09	SOX2	12
23416461	2013-04-09	SRY	1
25841337	2015-04-22	DAB2IP	4
26124180	2015-08-19	AKT1	6
26148236	2016-03-25	AKT1	1
26148236	2016-03-25	TGFB1	1
26148236	2016-03-25	MMP16	1
25283374	2015-01-23	DCLK1	11
12168098	2002-08-08	TIMP1	1
12168098	2002-08-08	TIMP2	1
12168098	2002-08-08	MDM2	1
12168098	2002-08-08	BAX	1
26893875	2016-02-19	NODAL	2
18188921	2008-01-14	MUC5AC	1
18188921	2008-01-14	KRT20	1
18188921	2008-01-14	KRT7	1
18188921	2008-01-14	MUC6	2
23446315	2013-08-29	KLK6	1
25743816	2015-03-06	SCRT1	2
11815979	2002-01-29	HGD	4
25157774	2014-08-27	NODAL	2
25157774	2014-08-27	SMUG1	16
25157774	2014-08-27	POMP	1
25157774	2014-08-27	SERPINB6	2
22819941	2012-09-17	CDKN2A	1
25026173	2014-07-16	BCL2	1
25026173	2014-07-16	ZHX2	2
27656835	2016-09-23	BRCA2	9
24423610	2014-03-04	CDK6	9
25609981	2015-01-22	NODAL	1
28621225	2017-06-16	MGMT	15
27476776	2016-08-01	MCM7	7
27476776	2016-08-01	CCNE1	3
27476776	2016-08-01	MCM4	8
22670171	2012-06-06	AKR1C3	15
9337377	1997-10-23	NODAL	1
17970080	2007-10-31	CDKN2A	14
26934001	2016-07-20	RAC1	1
23690952	2013-05-21	ZEB1	3
23690952	2013-05-21	CDH17	4
23690952	2013-05-21	TGFBR2	2
12506466	2002-12-31	STK11	1
12506466	2002-12-31	VHL	1
