#filename	date	concept_num	concept
19997933	2010-05-14	Esophageal cancer	1
19997933	2010-05-14	Stomach cancer	4
27730355	2016-10-12	Esophageal cancer	2
28465635	2017-05-03	Esophageal cancer	4
20935475	2010-10-27	Esophageal cancer	1
2291062	1991-04-04	Bile duct cancer	4
2291062	1991-04-04	Esophageal cancer	1
2291062	1991-04-04	Stomach cancer	2
2291062	1991-04-04	Colorectal cancer	3
22095881	2012-03-06	Esophageal cancer	1
12706106	2003-04-22	Esophageal cancer	2
27935117	2016-12-09	Esophageal cancer	1
11509124	2001-08-17	Esophageal cancer	1
16480952	2006-02-20	Esophageal cancer	1
21769769	2011-07-19	Esophageal cancer	4
26121676	2015-06-30	Esophageal cancer	3
28319330	2017-03-20	Esophageal cancer	2
16866852	2006-07-26	Esophageal cancer	5
24307345	2013-12-05	Esophageal cancer	1
14669229	2003-12-11	Esophageal cancer	1
17803656	2007-09-06	Esophageal cancer	1
27057430	2016-04-08	Esophageal cancer	3
23815003	2013-07-02	Esophageal cancer	1
28442917	2017-04-26	Esophageal cancer	5
17308098	2007-02-19	Esophageal cancer	1
7569075	1995-11-09	Esophageal cancer	2
18704592	2008-09-22	Esophageal cancer	1
23047213	2012-10-10	Esophageal cancer	3
23047213	2012-10-10	Stomach cancer	6
25866570	2015-04-13	Esophageal cancer	7
25866570	2015-04-13	Stomach cancer	1
22790989	2012-07-13	Esophageal cancer	2
18376186	2008-03-31	Esophageal cancer	5
9003466	1997-02-19	Colorectal cancer	1
1945000	1991-12-23	Esophageal cancer	3
25233932	2014-11-01	Esophageal cancer	1
27009857	2016-08-18	Esophageal cancer	3
26943418	2016-03-05	Esophageal cancer	4
21762264	2011-07-18	Esophageal cancer	1
23801316	2013-06-26	Esophageal cancer	1
2851910	1989-03-15	Esophageal cancer	1
26124180	2015-08-19	Esophageal cancer	1
26148236	2016-03-25	Esophageal cancer	1
25283374	2015-01-23	Pancreatic Cancer	1
12168098	2002-08-08	Esophageal cancer	1
26893875	2016-02-19	Esophageal cancer	2
23446315	2013-08-29	Esophageal cancer	2
25743816	2015-03-06	Esophageal cancer	3
16826587	2006-10-06	Esophageal cancer	5
11815979	2002-01-29	Esophageal cancer	1
25157774	2014-08-27	Esophageal cancer	4
22116018	2012-06-04	Esophageal cancer	3
28260102	2017-03-05	Stomach cancer	1
25026173	2014-07-16	Esophageal cancer	4
27656835	2016-09-23	Esophageal cancer	6
10357400	1999-06-15	Esophageal cancer	1
10357400	1999-06-15	Colorectal cancer	1
22632055	2014-02-04	Esophageal cancer	1
24234258	2014-05-15	Esophageal cancer	5
25609981	2015-01-22	Esophageal cancer	1
28621225	2017-06-16	Esophageal cancer	5
27476776	2016-08-01	Esophageal cancer	2
9337377	1997-10-23	Esophageal cancer	1
19050962	2009-02-02	Esophageal cancer	3
18570153	2008-06-23	Esophageal cancer	1
16704527	2006-05-17	Esophageal cancer	3
21125333	2011-05-02	Esophageal cancer	1
28562104	2017-05-31	Liver cancer	9
23617671	2013-04-26	Esophageal cancer	1
27013195	2016-05-20	Esophageal cancer	1
23273065	2013-02-20	Esophageal cancer	1
27414086	2016-09-20	Esophageal cancer	3
22488081	2012-07-27	Esophageal cancer	6
28003023	2016-12-22	Esophageal cancer	5
7852121	1995-03-10	Esophageal cancer	1
19473207	2010-05-07	Esophageal cancer	5
17334647	2007-03-05	Pancreatic Cancer	2
17334647	2007-03-05	Esophageal cancer	1
17334647	2007-03-05	Stomach cancer	1
27020921	2016-06-09	Esophageal cancer	5
28464907	2017-05-03	Esophageal cancer	1
27703488	2016-10-05	Esophageal cancer	4
18269644	2008-02-13	Esophageal cancer	1
23617771	2013-07-10	Esophageal cancer	1
2307128	1990-04-06	Esophageal cancer	4
15255287	2004-07-16	Esophageal cancer	1
25303920	2015-07-16	Esophageal cancer	5
9766491	1998-10-26	Esophageal cancer	2
22374537	2012-04-09	Esophageal cancer	3
12433726	2002-11-15	Esophageal cancer	3
2544146	1989-07-25	Stomach cancer	5
22921431	2012-10-12	Esophageal cancer	7
17222376	2007-01-15	Esophageal cancer	1
27499956	2016-08-08	Esophageal cancer	4
27432490	2016-08-02	Stomach cancer	5
7688653	1993-09-16	Esophageal cancer	7
28840196	2017-08-25	Colorectal cancer	1
19099725	2008-12-22	Stomach cancer	1
17704532	2007-09-19	Esophageal cancer	1
24263008	2014-05-05	Esophageal cancer	1
16086722	2005-08-09	Esophageal cancer	1
17649642	2007-07-25	Esophageal cancer	4
28635228	2017-06-21	Esophageal cancer	1
22621874	2012-07-23	Esophageal cancer	3
26252284	2015-08-08	Esophageal cancer	6
24849519	2014-11-21	Esophageal cancer	1
22944132	2012-09-04	Esophageal cancer	4
24659252	2014-03-24	Esophageal cancer	2
25886188	2015-10-08	Esophageal cancer	1
23457938	2013-03-05	Esophageal cancer	4
11427836	2001-06-27	Liver cancer	5
19496196	2009-06-04	Stomach cancer	10
19496196	2009-06-04	Colorectal cancer	1
16490593	2006-02-21	Esophageal cancer	10
19862357	2009-10-28	Stomach cancer	1
16249859	2005-10-26	Esophageal cancer	1
25912437	2015-07-21	Esophageal cancer	4
15884107	2005-05-10	Esophageal cancer	1
15884107	2005-05-10	Stomach cancer	1
15884107	2005-05-10	Colorectal cancer	2
15884107	2005-05-10	Liver cancer	4
27542820	2016-08-31	Esophageal cancer	1
2620628	1990-03-23	Esophageal cancer	2
25825497	2015-05-30	Liver cancer	1
21359894	2011-07-25	Esophageal cancer	2
14599628	2003-11-05	Esophageal cancer	1
26668804	2015-12-15	Esophageal cancer	3
24568468	2014-02-26	Esophageal cancer	10
28337363	2017-03-24	Stomach cancer	5
22895565	2013-06-04	Esophageal cancer	1
21452070	2011-05-12	Esophageal cancer	4
22897897	2013-02-19	Esophageal cancer	3
10699887	2000-04-07	Esophageal cancer	1
10699887	2000-04-07	Stomach cancer	1
24393922	2014-01-07	Liver cancer	3
18452380	2008-05-02	Esophageal cancer	1
24315827	2014-01-20	Pancreatic Cancer	1
25595897	2015-02-16	Esophageal cancer	9
23556484	2013-05-02	Esophageal cancer	4
7521573	1994-09-30	Esophageal cancer	1
24438540	2015-02-25	Esophageal cancer	3
24394034	2014-01-07	Esophageal cancer	5
19294536	2009-06-17	Stomach cancer	2
19294536	2009-06-17	Pancreatic Cancer	1
19294536	2009-06-17	Colorectal cancer	5
11778230	2002-01-07	Esophageal cancer	5
16270235	2006-02-23	Esophageal cancer	3
17343591	2007-03-08	Esophageal cancer	2
17069588	2006-10-30	Esophageal cancer	2
22350865	2012-03-27	Esophageal cancer	1
25824337	2015-06-06	Esophageal cancer	4
20006355	2010-01-28	Esophageal cancer	4
18243281	2008-03-03	Esophageal cancer	10
28430590	2017-04-21	Esophageal cancer	1
17176471	2007-01-12	Esophageal cancer	7
25739674	2015-06-02	Esophageal cancer	9
23213683	2012-12-06	Esophageal cancer	5
21048924	2010-11-04	Esophageal cancer	2
22564870	2012-07-09	Esophageal cancer	4
26122021	2016-05-20	Esophageal cancer	4
26122021	2016-05-20	Colorectal cancer	1
25070024	2014-09-17	Esophageal cancer	2
28135856	2017-01-31	Colorectal cancer	1
28368717	2017-04-03	Esophageal cancer	1
25826681	2015-04-01	Esophageal cancer	1
18219909	2008-01-28	Liver cancer	1
12819185	2003-08-06	Colorectal cancer	1
26885026	2016-02-17	Esophageal cancer	1
28410227	2017-04-14	Esophageal cancer	1
8408184	1993-11-05	Esophageal cancer	1
18320804	2008-03-06	Esophageal cancer	2
18320804	2008-03-06	Stomach cancer	1
22009562	2012-03-20	Esophageal cancer	2
18045592	2008-02-25	Esophageal cancer	1
26103161	2015-06-24	Esophageal cancer	3
22043780	2011-11-02	Liver cancer	5
24403488	2014-01-09	Esophageal cancer	1
16917820	2006-08-23	Colorectal cancer	7
25069478	2014-09-05	Esophageal cancer	1
8680752	1996-08-22	Esophageal cancer	1
23687414	2013-05-20	Esophageal cancer	1
20113324	2010-08-23	Esophageal cancer	4
15226295	2004-09-13	Colorectal cancer	2
17172403	2006-12-18	Esophageal cancer	3
21263758	2011-01-25	Pancreatic Cancer	1
24469726	2014-05-08	Esophageal cancer	7
26261200	2016-05-04	Esophageal cancer	1
26261200	2016-05-04	Stomach cancer	1
10362093	1999-06-29	Esophageal cancer	2
21224603	2011-01-12	Stomach cancer	5
28169357	2017-02-07	Esophageal cancer	7
25558656	2015-01-06	Colorectal cancer	5
16849557	2006-07-19	Esophageal cancer	1
23338568	2013-01-29	Esophageal cancer	2
28767684	2017-08-02	Liver cancer	4
17534685	2007-07-27	Esophageal cancer	4
11993509	2002-05-07	Esophageal cancer	1
11993509	2002-05-07	Stomach cancer	1
11993509	2002-05-07	Colorectal cancer	1
21537872	2011-10-13	Esophageal cancer	4
23726808	2013-09-23	Esophageal cancer	3
11353558	2001-05-16	Esophageal cancer	2
27056108	2016-06-11	Esophageal cancer	3
21498727	2011-04-18	Esophageal cancer	4
23661400	2014-01-06	Esophageal cancer	6
10026993	1999-03-05	Colorectal cancer	3
10026993	1999-03-05	Liver cancer	1
22776426	2012-07-23	Esophageal cancer	1
17682823	2007-10-16	Esophageal cancer	3
12375201	2002-10-10	Esophageal cancer	1
7526072	1994-11-30	Esophageal cancer	2
23994890	2013-09-09	Esophageal cancer	1
8356387	1993-09-23	Esophageal cancer	2
25379852	2014-11-08	Esophageal cancer	3
25379852	2014-11-08	Colorectal cancer	1
7661483	1995-09-29	Stomach cancer	3
7661483	1995-09-29	Colorectal cancer	1
17298752	2007-02-14	Esophageal cancer	1
11079730	2000-11-15	Esophageal cancer	1
6497475	1984-12-18	Esophageal cancer	4
19515183	2010-05-07	Esophageal cancer	1
12122597	2002-07-17	Stomach cancer	1
24022442	2013-09-11	Esophageal cancer	2
20876421	2010-10-29	Esophageal cancer	3
20432176	2010-04-30	Esophageal cancer	2
16145342	2005-09-07	Esophageal cancer	4
23919219	2013-08-06	Esophageal cancer	5
26135649	2015-07-03	Esophageal cancer	2
12269769	2002-09-24	Stomach cancer	1
20699370	2010-09-02	Colorectal cancer	3
22799340	2012-07-17	Stomach cancer	3
