#filename	date	concept_num	concept
2171815	1990-12-04	Liver carcinoma	1
14608035	2003-12-03	Prostate carcinoma	1
14608035	2003-12-03	Primary Neoplasm	1
14608035	2003-12-03	Neoplasm Metastasis	1
14608035	2003-12-03	ANXA7 gene	8
14608035	2003-12-03	Liver carcinoma	1
20210523	2010-06-04	neoplasm angiogenesis	1
20210523	2010-06-04	IL6 gene	2
20210523	2010-06-04	tumor growth	1
20210523	2010-06-04	Liver carcinoma	6
18407589	2008-04-14	BIRC5 wt Allele	2
18407589	2008-04-14	Malignant neoplasm of liver	5
18407589	2008-04-14	PPARG gene	3
20813662	2010-09-03	PTEN gene	6
20813662	2010-09-03	TP53 wt Allele	5
12149145	2002-07-31	CXCL12 gene	14
12149145	2002-07-31	Neoplasm Metastasis	1
12149145	2002-07-31	CXCR4 wt Allele	14
12149145	2002-07-31	Liver carcinoma	4
9362362	1997-12-09	ABCB1 wt Allele	5
9362362	1997-12-09	TBC1D9 gene	4
9362362	1997-12-09	tumor growth	1
9362362	1997-12-09	Liver carcinoma	2
14506641	2003-09-24	Renal Cell Carcinoma	1
14506641	2003-09-24	Gastric Adenocarcinoma	1
14506641	2003-09-24	Squamous cell carcinoma	1
14506641	2003-09-24	Thymoma	1
14506641	2003-09-24	Sarcoma, Epithelioid	1
14506641	2003-09-24	Prostate carcinoma	3
14506641	2003-09-24	Malignant Neoplasms	4
14506641	2003-09-24	Carcinoma, Transitional Cell	1
14506641	2003-09-24	AMACR gene	16
14506641	2003-09-24	Carcinoma, Neuroendocrine	1
14506641	2003-09-24	Malignant neoplasm of urinary bladder	1
14506641	2003-09-24	synovial sarcoma	1
14506641	2003-09-24	Germ cell tumor	1
14506641	2003-09-24	Malignant neoplasm of kidney	1
14506641	2003-09-24	Adenocarcinoma	2
14506641	2003-09-24	melanoma	1
14506641	2003-09-24	Basal cell carcinoma	1
14506641	2003-09-24	Soft Tissue Neoplasms	1
14506641	2003-09-24	Liver carcinoma	1
9589695	1998-06-04	CYP19A1 wt Allele	7
9589695	1998-06-04	Malignant neoplasm of liver	2
9589695	1998-06-04	SARNP gene	1
9589695	1998-06-04	Fibrolamellar hepatocellular carcinoma	3
9589695	1998-06-04	CYP19A1 gene	7
9589695	1998-06-04	Liver carcinoma	1
15300889	2004-08-09	c-myc Genes	1
15300889	2004-08-09	MYC Family Genes	1
15300889	2004-08-09	Rat Hepatocellular Carcinoma	1
15300889	2004-08-09	Liver carcinoma	8
18318435	2008-04-02	AKT1 gene	1
18318435	2008-04-02	Hepatocarcinogenesis	2
18318435	2008-04-02	tumor growth	1
18318435	2008-04-02	SULF2 gene	15
18318435	2008-04-02	SULF1 gene	3
18318435	2008-04-02	Liver carcinoma	10
9510189	1998-03-26	SPI1 wt Allele	1
9510189	1998-03-26	CD58 wt Allele	1
9510189	1998-03-26	CD58 gene	4
9510189	1998-03-26	CD2 gene	1
11315506	2001-04-23	TNFSF10 gene	1
11315506	2001-04-23	TNF gene	1
11315506	2001-04-23	FAS wt Allele	1
11315506	2001-04-23	BCL2 gene	1
11315506	2001-04-23	Caspase Gene	1
11315506	2001-04-23	FAS gene	1
11315506	2001-04-23	Liver carcinoma	8
17132920	2006-11-29	Liver carcinoma	11
22151825	2012-02-27	Squamous cell carcinoma	14
22151825	2012-02-27	HCCS gene	1
22151825	2012-02-27	Liver carcinoma	9
14676441	2003-12-16	Cholangiocarcinoma	2
14676441	2003-12-16	Colorectal Carcinoma	1
14676441	2003-12-16	Stomach Carcinoma	2
14676441	2003-12-16	Gastrointestinal Neoplasms	1
14676441	2003-12-16	Adenocarcinoma	1
14676441	2003-12-16	Adenocarcinoma of large intestine	1
14676441	2003-12-16	HCCS gene	7
14676441	2003-12-16	Hepatocellular Carcinoma of the Mouse	1
14676441	2003-12-16	Liver carcinoma	2
221549	1979-09-01	HCCS gene	1
221549	1979-09-01	Liver carcinoma	3
17323377	2007-04-02	F2R gene	3
17323377	2007-04-02	Liver and Intrahepatic Biliary Tract Carcinoma	1
17323377	2007-04-02	Neoplasm Metastasis	1
17323377	2007-04-02	Liver carcinoma	4
22072618	2011-12-29	Colorectal Carcinoma	2
22072618	2011-12-29	Malignant neoplasm of stomach	2
22072618	2011-12-29	FEN1 wt Allele	2
22072618	2011-12-29	Malignant neoplasm of gastrointestinal tract	6
22072618	2011-12-29	messenger protein	2
22072618	2011-12-29	Malignant neoplasm of lung	2
22072618	2011-12-29	Malignant neoplasm of esophagus	2
22072618	2011-12-29	Liver carcinoma	2
22072618	2011-12-29	Colorectal Cancer	2
8002186	1995-01-25	Malignant neoplasm of stomach	2
