#filename	date	concept_num	concept
19563779	2016-01-01	FOXO1	10
19563779	2016-01-01	SERPINE1	2
19563779	2016-01-01	SMAD3	1
19563779	2016-01-01	ING1	2
23071593	2016-01-01	CHKA	9
16536986	2016-01-01	TSPAN1	16
23333103	2016-01-01	PNPLA3	6
23499802	2016-01-01	PTHLH	1
23499802	2016-01-01	SMAD3	1
23388123	2016-01-01	VIM	3
23388123	2016-01-01	EPCAM	3
23388123	2016-01-01	KRT7	1
22351518	2016-01-01	DKK3	1
22351518	2016-01-01	SFRP1	8
22351518	2016-01-01	WIF1	1
22351518	2016-01-01	CTNNB1	2
21618573	2016-01-01	ZEB2	1
21618573	2016-01-01	AKT1	1
21618573	2016-01-01	CDH17	1
16412291	2016-01-01	HIC1	5
16412291	2016-01-01	TP73	3
16412291	2016-01-01	RASSF1	3
2437983	2016-01-01	NTS	2
24453047	2016-01-01	ID3	1
24453047	2016-01-01	INHBE	1
24453047	2016-01-01	ALAS1	1
24453047	2016-01-01	ANGPTL4	1
14608035	2016-01-01	ANXA7	8
19074436	2016-01-01	MAP3K7	6
19074436	2016-01-01	NFKB1	2
19074436	2016-01-01	TNFSF10	9
19074436	2016-01-01	MAPK8	4
11819825	2016-01-01	CTNNB1	6
19685755	2016-01-01	PTEN	15
17052188	2016-01-01	PSMD10	7
17052188	2016-01-01	AAAS	1
22046272	2016-01-01	IRF7	2
22046272	2016-01-01	MYD88	1
22046272	2016-01-01	TLR9	10
12644537	2016-01-01	SP3	2
16204462	2016-01-01	NR1I2	1
16204462	2016-01-01	GSTM1	1
16204462	2016-01-01	GSTA4	1
16204462	2016-01-01	GSTA1	1
18277965	2016-01-01	ASH1L	1
18277965	2016-01-01	APOA1BP	1
18277965	2016-01-01	PYGO2	1
18277965	2016-01-01	IQGAP3	1
18277965	2016-01-01	SCAMP3	1
18277965	2016-01-01	CCT3	1
12452071	2016-01-01	NFKBIA	3
12452071	2016-01-01	RELB	3
17722141	2016-01-01	GLUL	1
17722141	2016-01-01	CTNNB1	1
24224160	2016-01-01	AQP3	8
24224160	2016-01-01	AQP5	6
16054712	2016-01-01	ZHX2	1
24823635	2016-01-01	VEGFA	3
11732002	2016-01-01	HCCS	8
22147961	2016-01-01	ELANE	1
22556267	2016-01-01	ZFX	1
22556267	2016-01-01	DTNB	1
22556267	2016-01-01	NCOA2	3
17729405	2016-01-01	PTEN	7
17729405	2016-01-01	PPM1A	7
11095446	2016-01-01	CDKN2A	7
22166570	2016-01-01	BCL2	3
22166570	2016-01-01	BAX	6
19757161	2016-01-01	CD1D	4
19757161	2016-01-01	SARNP	1
17691108	2016-01-01	BCL2	2
17691108	2016-01-01	BCL2L1	1
21826248	2016-01-01	AKT1	4
21826248	2016-01-01	XRCC6	1
12297835	2016-01-01	BCL2	1
12297835	2016-01-01	AKT1	1
9657098	2016-01-01	IL1B	1
9657098	2016-01-01	IFNA1	1
21656365	2016-01-01	BCL2	1
21656365	2016-01-01	BCL2L1	1
19883433	2016-01-01	VIM	2
19883433	2016-01-01	KRT8	1
21500546	2016-01-01	USP22	9
15967112	2016-01-01	BRCA2	1
10374265	2016-01-01	GPNMB	1
10374265	2016-01-01	JUP	1
10374265	2016-01-01	PKP2	1
22735941	2016-01-01	IL23R	5
23936443	2016-01-01	EFEMP1	10
20727737	2016-01-01	TYMS	10
15026811	2016-01-01	ZEB2	9
15026811	2016-01-01	SNAI1	12
15026811	2016-01-01	SARNP	1
15026811	2016-01-01	CDH17	4
15026811	2016-01-01	MMP7	1
10424738	2016-01-01	GPI	1
21542089	2016-01-01	LAPTM4B	10
21542089	2016-01-01	CNPY2	1
19709125	2016-01-01	BCL2	1
19709125	2016-01-01	BAX	2
19709125	2016-01-01	SERPINA4	5
8553666	2016-01-01	HCCS	6
16650523	2016-01-01	MTUS1	7
17517078	2016-01-01	MT1X	1
17517078	2016-01-01	MT2A	1
6368746	2016-01-01	PLVAP	3
9841810	2016-01-01	LGALS4	3
22056812	2016-01-01	IRF1	4
22056812	2016-01-01	BECN1	1
22056812	2016-01-01	ATG5	1
9307185	2016-01-01	VHL	1
9307185	2016-01-01	WT1-AS	1
