#filename	date	concept_num	concept
24628237	2016-01-01	Liver cancer	1
9276648	2016-01-01	Liver cancer	3
19563779	2016-01-01	Liver cancer	2
23071593	2016-01-01	Liver cancer	5
10221823	2016-01-01	Liver cancer	4
12675768	2016-01-01	Stomach cancer	4
12675768	2016-01-01	Liver cancer	2
16536986	2016-01-01	Liver cancer	14
16585186	2016-01-01	Liver cancer	3
23333103	2016-01-01	Liver cancer	4
23499802	2016-01-01	Liver cancer	1
23388123	2016-01-01	Bile duct cancer	20
23388123	2016-01-01	Liver cancer	2
19008009	2016-01-01	Liver cancer	3
8003125	2016-01-01	Esophageal cancer	1
8003125	2016-01-01	Liver cancer	1
22351518	2016-01-01	Liver cancer	9
21618573	2016-01-01	Liver cancer	7
16412291	2016-01-01	Liver cancer	8
19030926	2016-01-01	Pancreatic Cancer	1
19030926	2016-01-01	Colorectal cancer	1
19030926	2016-01-01	Liver cancer	1
2437983	2016-01-01	Bile duct cancer	1
2437983	2016-01-01	Liver cancer	9
24453047	2016-01-01	Liver cancer	1
14608035	2016-01-01	Liver cancer	1
23657400	2016-01-01	Colorectal cancer	4
19074436	2016-01-01	Liver cancer	2
11819825	2016-01-01	Liver cancer	8
19685755	2016-01-01	Liver cancer	7
19920783	2016-01-01	Liver cancer	3
18344806	2016-01-01	Liver cancer	6
8701981	2016-01-01	Liver cancer	5
17052188	2016-01-01	Liver cancer	1
21213214	2016-01-01	Liver cancer	8
22046272	2016-01-01	Liver cancer	1
21762014	2016-01-01	Liver cancer	1
15126377	2016-01-01	Liver cancer	3
23885407	2016-01-01	Liver cancer	10
9840141	2016-01-01	Liver cancer	6
16737844	2016-01-01	Liver cancer	6
15930341	2016-01-01	Colorectal cancer	1
16204462	2016-01-01	Liver cancer	3
18277965	2016-01-01	Liver cancer	5
21630171	2016-01-01	Liver cancer	2
12452071	2016-01-01	Pancreatic Cancer	1
12452071	2016-01-01	Liver cancer	1
17722141	2016-01-01	Liver cancer	4
24224160	2016-01-01	Liver cancer	8
8275481	2016-01-01	Bile duct cancer	1
8275481	2016-01-01	Liver cancer	1
16054712	2016-01-01	Liver cancer	3
24823635	2016-01-01	Liver cancer	3
11732002	2016-01-01	Liver cancer	3
16556414	2016-01-01	Liver cancer	8
22147961	2016-01-01	Liver cancer	8
22556267	2016-01-01	Liver cancer	4
11709657	2016-01-01	Liver cancer	1
17729405	2016-01-01	Liver cancer	16
23762823	2016-01-01	Liver cancer	16
22166570	2016-01-01	Liver cancer	3
19757161	2016-01-01	Liver cancer	5
17893121	2016-01-01	Liver cancer	8
17691108	2016-01-01	Liver cancer	3
3257714	2016-01-01	Liver cancer	2
21826248	2016-01-01	Liver cancer	4
