"Gene","Bile duct cancer","Colorectal cancer","Esophageal cancer","Liver cancer","Pancreatic Cancer","Stomach cancer","total"
"MET",0.149244808431685,0.251310151864602,0.149929846490476,0.0732452660188074,0.127898945791687,0.233958672043219,0.985587690640477
"EGF",0.028954789064511,0.12399847966323,0.0502618770009829,0.0144198663561864,0.0823479095059145,0.0952841324318756,0.395267054022701
"CA1",0.0347120258685015,0.116191473991353,0.0263626536875117,0.00898799719010802,0.149890376165497,0.025120990233851,0.361265517136822
"AFP",0.0436485364517821,0.00848840999654498,0.0101933170531663,0.136642535089625,0.0171408567084968,0.0790035531008724,0.295117208400487
"EGFR",0.0259329659364761,0.0951649409834542,0.0439424346676153,0.00925216360367461,0.0604474399381193,0.0442659294818543,0.279005874611194
"AKT1",0.0197274265515217,0.0599784561519772,0.0211934376782659,0.0521643087334078,0.0489014678668896,0.0459071042881153,0.247872201270177
"BTC",0.211327867347969,0.00241703957917709,0.000344324146047655,0.0233814377268896,0.00602259229231539,0.00239866755166822,0.245891928644067
"ALB",0.0138634337380841,0.100726574829412,0.014864841460715,0.0149123153819514,0.0517663874939047,0.0453695754038493,0.241503128307916
"CD4",0.0186336363936925,0.0765830090411968,0.0238195202925021,0.0111093067747355,0.0414750106181957,0.0536741621085774,0.2252946452289
"BCL2",0.020859610738513,0.051698824106805,0.0222537181122119,0.0273935441246672,0.0338758360636792,0.0483176290540783,0.204399162199955
"NODAL",0.0411136405606909,0.0225939684838679,0.083460655190213,0.00520470198432221,0.00418377532895152,0.033066902922528,0.189623644470573
"PEMT",0.0507627171800606,0.0270473591009751,0.0110015216149795,0.00843994190419572,0.0503752186018186,0.037649127839731,0.185275886241761
"CTNNB1",0.0078071659520178,0.0740177013343588,0.00912894018536878,0.0428754299227467,0.0185547685427237,0.0295182412695411,0.181902247206757
"DCC",0.0138886835642025,0.125475188260016,0.00528744334041076,0.0017109695105722,0.008038169855253,0.0246546677810089,0.179055122311463
"CDKN2A",0.0149875464810528,0.0306308775703557,0.0118761558215876,0.0233035199315495,0.0650091553534556,0.0272880559291173,0.173095311087118
"PTEN",0.015340601317985,0.042602273344795,0.0113446977547587,0.036000625037199,0.0139303031889993,0.0479353164837872,0.167153817127524
"CD44",0.0176471274650835,0.0647137665655861,0.0090897904507408,0.00776961347610202,0.0319383368785936,0.0346954399185271,0.165854074754633
"CD34",0.0273680224594713,0.0327597840383295,0.0233634157083362,0.0179994583002246,0.0166962640547368,0.045974870004428,0.164161814565526
"CDH17",0.0122288384438802,0.035794943875484,0.00948668674361208,0.0248148478894079,0.0154624150000298,0.0657670545932029,0.163554786545617
"CA11",0.00262128296592651,0.0576743720085367,0.00765044986514326,0.00179519919269808,0.083652858782447,0.00887651099268584,0.162270673807437
"TP53",0.0189889883967933,0.05716694227905,0.0261269170832375,0.00150568534975826,0.0270742375774539,0.0299470015542878,0.160809772240581
"BAX",0.014176867705549,0.0512334005425712,0.0210671206097164,0.0135453954366892,0.0164211927188432,0.0378044167326432,0.154248393746012
"CDH1",0.0090514373494427,0.0244316937699139,0.0124282025310057,0.00696540647299497,0.01153124816244,0.0887059086297581,0.153113896915555
"MUC2",0.047179527300215,0.0361646791161407,0.00215001000884246,0.00699555878254387,0.0275475367879744,0.0292655970009586,0.149302908996675
"BRAF",0.00876896076214548,0.115601616394516,0.000908160162723475,0.00196574755063649,0.0027020329587298,0.0172554464950133,0.147201964323765
"RUNX3",0.00827316633298371,0.0263825144612584,0.0174257559498587,0.00928987106610738,0.0200621412423901,0.0656792222010712,0.14711267125367
"MUC5AC",0.064743506260744,0.0181541883493171,0.00150486488253367,0.003325554332589,0.0243882513159399,0.0349208891116841,0.147037254252808
"SMAD4",0.0159109418704668,0.0445595338921893,0.00160500157082426,0.00701100960216331,0.062495909194817,0.015213150368009,0.14679554649847
"VIM",0.0280326006926545,0.0354480054315309,0.0086090285750743,0.0361300746550583,0.0165587337678767,0.0199864260958785,0.144764869218073
"GPC3",0.0192537499700298,0.00129261672934414,0.000339571631986426,0.0969553877242917,0.0209820304265354,0.00411072302514418,0.142934079507332
"MLH1",0.00203721030761872,0.105252592508917,0.00425386252067155,0.00131922550751889,0.00609413649857691,0.0166589506621904,0.135615978005494
"CDX2",0.0411685608497318,0.0366308627535207,0.00685950238587443,0.00516221802215169,0.00861355482336197,0.0318209560511999,0.130255654885841
"CA4",0,0.0835920595676463,0.00180755630906981,0.00323653904762055,0.0212675078613748,0.0133293602059229,0.123233022991634
"SALL4",0.0330881366960026,0.000418687024961173,0.00200043358951883,0.0271371137368693,0,0.0597042160426007,0.122348587089953
