"Gene","Bile duct cancer","Colorectal cancer","Esophageal cancer","Liver cancer","Pancreatic Cancer","Stomach cancer","total"
"MET",0.089083550706559,0.109545037182756,0.117183707244252,0.0309318658308898,0.058365627493895,0.0995883039670511,0.504698092425403
"EGF",0.0125848396875424,0.0740993880189871,0.0200742616664288,0.00357122230440973,0.0531990607416677,0.0514322943396222,0.214961066758658
"CA1",0.0226953347083345,0.0699713595149544,0.0168397036190329,0.00398730606061296,0.0786405130203796,0.0118280619630638,0.203962278886378
"NODAL",0.0393064353107533,0.0121685072985066,0.083157277746176,0.00268102806794856,0.00445998643527753,0.0233964672075312,0.165169702066193
"ALB",0.00628881870722476,0.0958847251388647,0.00836416350756231,0.00601709278771004,0.0229698226549523,0.0251162087981004,0.164640831594414
"BTC",0.146794372533493,0.000410522430594952,1.84558604915913e-05,0.00148263003209944,0.00179976743456611,0.00020367241784044,0.150709420709085
"AFP",0.0210680896213265,0.00490575329360861,0.00428131358228881,0.0684258013027405,0.0123854699528092,0.036375086177968,0.147441513930742
"BCL2",0.0111668733749985,0.0364014138765616,0.0177720259491068,0.0284897547321245,0.016993148961396,0.0347083125910712,0.145531529485259
"AKT1",0.00963742981356757,0.0303804289807269,0.0107097594280137,0.0336931854070327,0.0306992223909838,0.0254184603130023,0.140538486333327
"EGFR",0.0110594861447748,0.0549627569054127,0.0137487672806437,0.00176157866222943,0.0317273072049942,0.0182227877017307,0.131482683899785
"CD4",0.0103516699517787,0.0379833841052668,0.0121583989895396,0.00545146626934194,0.0263851269652558,0.0272315990828314,0.119561645364014
"BAX",0.00700363472150395,0.0399174304833873,0.0129488053985224,0.0140411313188521,0.00766327797805817,0.0285193601852485,0.110093640085572
"CDKN2A",0.00816153118972403,0.0163691415505777,0.00726825652958535,0.0150393369975509,0.0424741590088106,0.0154601767806867,0.104772602056935
"CTNNB1",0.00292344428970119,0.0551105701692118,0.00249704978763531,0.0214952605935667,0.00747256816556171,0.0108975736260597,0.100396466631736
"TP53",0.0113829653114284,0.0381601478064208,0.0160195745411964,0.000853687744807943,0.0154940907058885,0.0161496687476266,0.0980601348573687
"PEMT",0.0202214754948621,0.0145534294502605,0.00573256706718219,0.00349278909843089,0.0352071227291025,0.0180913224208726,0.0972987062607108
"CA4",0,0.0649296256545938,0.00265999082223503,0.00257310277887956,0.0196683462029297,0.00355330616041698,0.0933843716190551
"CDH17",0.0030519822849485,0.0211751428923621,0.00373372078362154,0.0113178267274566,0.00853826823335584,0.0388802043896264,0.086697145311371
"SMAD4",0.00608293841296974,0.0199442919644825,0.000996451362817844,0.00492588597121405,0.0467790195379483,0.00721037111935998,0.0859389583687924
"CAT",0.0127091383511141,0.0328696684721723,0.0100591824432751,0.003046457741264,0.0135604320546431,0.012519205368069,0.0847640844305376
"DCC",0.00598724654097106,0.0635089148061511,0.0017915795568275,0.00045812292578392,0.00506638050460933,0.00763906955681569,0.0844513138911586
"PCNA",0.0129274765945906,0.0158185006194484,0.00205529077979847,0.0209864448031451,0.00412922475024711,0.0257535331008686,0.0816704706480982
"GEM",0.0553726297842165,0.00511342752607853,0.00159852123147221,0.000459412097577875,0.0169242109777333,0.00211610652550187,0.0815843081425803
"FAS",0.00675171253150541,0.0350794338240309,0.00210418141722605,0.00173992420415725,0.0137239697301824,0.0198041476653144,0.0792033693724165
"CA11",0.000845977183787282,0.0316175452396378,0.00405489929919729,0.00097529558607182,0.0346543216310876,0.00471865779897124,0.076866696738753
"PTEN",0.00800828708265823,0.017477616082129,0.00559584692336028,0.014680464112945,0.00769030227547409,0.0211899402649623,0.0746424567415288
"ERBB2",0.00395654450804446,0.00537928436419945,0.00848711557876731,0.000259037864643039,0.00563739661746656,0.0503836391076533,0.0741030180407742
"DLD",0.000230822832477416,0.0693231616424116,0.000110771656628908,0.00153401669092243,0.000694093933210129,0.00160565955893893,0.0734985263145894
"BRAF",0.00478680854011366,0.061944066943014,0.000754187070373159,0.000952414861156414,0.00208321834150304,0.00288651613537817,0.0734072118915385
"CDH1",0.00087531104296227,0.00612744798144431,0.00334225917563893,0.000260936553673243,0.00163892156534554,0.0599011472570769,0.0721460235761412
"CRP",0.00626381683222612,0.018285718606313,0.0271683000112985,0.00234465602066725,0.00537449147120539,0.0118307903003538,0.071267773242064
"INS",0.00463982284611711,0.0363324158505693,0.00459990531704902,0.00445996293309434,0.0114688379634307,0.00950368357352007,0.0710046284837806
