"Gene","Bile duct cancer","Colorectal cancer","Esophageal cancer","Liver cancer","Pancreatic Cancer","Stomach cancer","total"
"MET",0.0705105262589135,0.0552963417928452,0.0616220765235986,-0.109456890907858,0.0279546077190849,0.114832516737693,0.220759178124277
"AFP",0.0288507095594247,-0.0321770136968795,-0.00700000327164877,0.116231921135247,-0.00124379967263909,0.0579100215145937,0.162571835568098
"BTC",0.204372537218332,-0.0278733939453684,-0.0124384969725182,0.00218150842176382,-0.00765165611635267,-0.0160661621276182,0.142524336478238
"SALL4",0.0304822111261934,-0.0081964962729044,-0.00157281215115915,0.0227238479104534,-0.00392464835473298,0.0575095386212199,0.0970216408790702
"GPC3",0.0135021988681316,-0.0147983349030734,-0.0064470072371908,0.0923072355290744,0.0142351927417883,-0.00555257080322623,0.0932467141955038
"FSCN1",-0.00213304366448915,0.00810576023211824,0.0371978211387403,0.00277744975672684,0.019533488679727,0.0223953707214069,0.0878768468642302
"IFNAR2",0.0192503204052602,-0.00283206647416585,0.0152097614278371,0.0294718395548252,0.0114063876355876,0.00653183936571767,0.079038081915062
"NCAM1",0.0662315106371224,-0.00219712831949734,-0.0030348244799267,0.00362337702262471,-0.00177323848966804,0.0149799699034894,0.0778296662741444
"LAPTM4B",-7.87346307148546e-06,0.0077318971018032,0.0367174094330129,0.0120126233011512,-0.00325145620123803,0.0212977736877708,0.0745003738594286
"RUNX3",-0.000784705411833844,0.0055199547604483,0.00766986527579293,-0.00837178323320601,0.00960817230979606,0.0542906062017688,0.0679321099027662
"DCC",0.00043174267131174,0.106165413449006,-0.00978599348150923,-0.0255853425502109,-0.00819523164098594,0.00386402933739273,0.0668946177850046
"CXCR1",-0.00229431981088812,0.00575967368685696,0.00755310614570371,-0.0001721764586672,0.049442199562111,0.00571945500166306,0.0660079381267794
"MUC5AC",0.0568103628814166,-0.00402151150044589,-0.00874466208344594,-0.0149606385825952,0.0139719929550693,0.0217979866414712,0.06485353031147
"CASK",-0.000848782318198476,0.0025285801775001,0.0601339339579866,-0.0013951190935479,-0.00101606504189503,0.00492913271273435,0.0643316803945796
"KRT17",0.0641532098730585,-0.00302214838335465,-0.00168903015648067,-0.00245913623536846,0.00896268608096855,-0.00245487579365032,0.0634907053851729
"SEMA4C",-0.000854863458240256,0.0136441826360528,0.0316137318805378,-0.00170310594367716,-0.000859593057099947,0.0195928368873836,0.0614331889449568
"WNT9B",-0.00133872606142087,0.0035404040507712,0.0175368856528751,-0.00266708360286541,0.0242531128259483,0.0179508419350128,0.0592754348003211
"BICC1",0.0570267347330571,-0.00271363961604204,-0.00113372281585784,0.00287358533566054,-0.00122820743841278,0.0043284082035278,0.0591531584019328
"PEMT",0.0375762433969209,-0.00719076241715789,-0.00454716779847247,-0.0194522373232757,0.0347887048167746,0.0166464744439278,0.0578212551187173
"AHCYL1",0.0534865912006357,-0.00214531010378358,-0.000896282246681394,0.00304930029275056,-0.000970978538046323,0.00499674661486747,0.0575200672197424
"PBK",0.0494757179912739,0.00191892238423932,-0.00135047225615787,0.0109390848328647,-0.00191814684297405,-0.00253734024114622,0.0565277658680998
"AGR3",0.0353873545478835,-0.00214531010378358,-0.000896282246681394,0.0263755784963809,-0.000970978538046323,-0.00130267750591336,0.0564476846498398
"C2orf40",-0.00226234121832025,-0.00564702153863494,0.0751869685787651,-0.00450716045750569,-0.00270821596478629,-0.00363337795867351,0.0564288514408444
"NKD2",-0.00129417520247846,0.00174236030273657,0.0308778530435884,-0.00237822967689465,0.0155440799260967,0.0113768987963905,0.0558687871894392
"MUC4",0.0338003803091348,-0.0153771423647839,-0.0049493620616745,-0.0127150449698381,0.0589209924810558,-0.00508311164497582,0.0545967117489183
"MUC2",0.03732442814296,0.0122909378462841,-0.00981351354905397,-0.0141192260182222,0.0153610136409062,0.013341726636046,0.05438536669892
"CDH1",-0.00209145259366197,-0.00225071231184789,0.000223141543531484,-0.0150726099631969,-0.0016930106377801,0.0751901296702419,0.0543054857072865
"PCDH10",-0.00172069128781873,0.00265221759100067,0.0147856173115046,0.00698960853566174,0.0155190395801911,0.0155624589690568,0.0537882506995962
"CKS2",-0.00141083728796948,-0.00409050591246878,0.0500444630378059,0.00315816758119843,-0.00222839661453948,0.00823449680918537,0.0537073876132119
"CKS1B",0.000676454132486682,-0.00415311113546137,0.0474680030831387,0.00977906468190092,-0.00300540529621131,0.00148951986503977,0.0522545253308933
"C8orf17",0.000904396506854588,0.0213404620649608,0.0177750901982259,0.00651616605268157,-0.000608243833763786,0.00607313351085771,0.0520010044998167
"UMPS",0.0173588043073324,0.000534394597824197,1.50939443398193e-05,0.0105922447400983,0.0209142737818988,0.00228865409758153,0.051703465469075
"SLC22A1",0.0282022997914112,-0.00453179443479131,-0.00201040620650703,0.0329665449269262,-0.000619919445319803,-0.00292197123468882,0.0510847533970304
"RRH",-0.000811118757620898,0.00741251232235657,0.0235601140082254,-0.00161595534797552,0.0167414525513989,0.00499674661486746,0.0502837513912519
"FZD7",-0.00152934240298432,0.00244025049677516,0.0196454276192848,0.0111029552481137,0.0090521228358284,0.00946062446502584,0.0501720382620436
"CA1",0.000304945221376541,0.0394628560988648,-0.0119703653763944,-0.0611968969803936,0.113910946138906,-0.0304459055624806,0.0500655795398783
"TRDMT1",-0.00312895110376381,0.0167595001912692,0.00294848795711207,0.00132044818950812,0.00173741065933062,0.0303755503979175,0.0500124462913736
"PIK3C2G",0.0560721964367431,-0.00214531010378358,-0.000896282246681394,-0.00161595534797552,-0.000970978538046323,-0.00130267750591336,0.049140992694343
"SEC23A",0.0405585650200984,-0.00214531010378358,-0.000896282246681394,0.0123798115742027,-0.000970978538046323,-0.00130267750591336,0.0476231281998765
"EFNB3",-0.000811118757620898,0.0169703347484967,0.011331915880772,-0.00161595534797552,0.0167414525513989,0.00499674661486747,0.0476133756899386
"MTHFR",-0.00796001074138267,0.0207945602251522,0.0272820166749676,-0.0145083578761264,-0.00629748772465171,0.0280727977601519,0.0473835183181109
"VPS13A",-0.000811118757620898,0.0233422163659235,-0.000896282246681394,-0.00161595534797552,-0.000970978538046323,0.0280946350577305,0.0471425165333298
"VPS13B",-0.000811118757620898,0.0233422163659235,-0.000896282246681394,-0.00161595534797552,-0.000970978538046323,0.0280946350577305,0.0471425165333298
"VPS13C",-0.000811118757620898,0.0233422163659235,-0.000896282246681394,-0.00161595534797552,-0.000970978538046323,0.0280946350577305,0.0471425165333298
"VPS33A",-0.000811118757620898,0.0233422163659235,-0.000896282246681394,-0.00161595534797552,-0.000970978538046323,0.0280946350577305,0.0471425165333298
"VPS35",-0.000811118757620898,0.0233422163659235,-0.000896282246681394,-0.00161595534797552,-0.000970978538046323,0.0280946350577305,0.0471425165333298
"VPS37B",-0.000811118757620898,0.0233422163659235,-0.000896282246681394,-0.00161595534797552,-0.000970978538046323,0.0280946350577305,0.0471425165333298
"VPS37D",-0.000811118757620898,0.0233422163659235,-0.000896282246681394,-0.00161595534797552,-0.000970978538046323,0.0280946350577305,0.0471425165333298
"VPS41",-0.000811118757620898,0.0233422163659235,-0.000896282246681394,-0.00161595534797552,-0.000970978538046323,0.0280946350577305,0.0471425165333298
"VPS54",-0.000811118757620898,0.0233422163659235,-0.000896282246681394,-0.00161595534797552,-0.000970978538046323,0.0280946350577305,0.0471425165333298
"CAPNS1",0.0543953845410677,-0.00272912718754074,-0.0011401933188187,-0.000624619109564724,-0.00123521719402115,-0.0016571835427036,0.0470090441884188
"KLK10",-0.00213862388028036,0.0253700062859725,-0.00175647791836236,-0.00287190938220932,0.00271260162342515,0.0256762045022805,0.0469918012308262
