"Cancer","Gene","pmi"
"Bile duct cancer","AHCYL1",3.18003497609472
"Bile duct cancer","KRT13",3.18003497609472
"Esophageal cancer","DMC1",3.04768014446737
"Esophageal cancer","DZIP1L",3.04768014446737
"Esophageal cancer","EFNB3",3.04768014446737
"Esophageal cancer","MTNR1A",3.04768014446737
"Esophageal cancer","RRH",3.04768014446737
"Bile duct cancer","BICC1",2.99771341930077
"Esophageal cancer","NAA10",2.83145703599774
"Pancreatic Cancer","DZIP1L",2.80263557958061
"Pancreatic Cancer","HELT",2.80263557958061
"Pancreatic Cancer","ADAMTS9",2.80263557958061
"Pancreatic Cancer","WWC2",2.80263557958061
"Pancreatic Cancer","FAT3",2.80263557958061
"Pancreatic Cancer","FAT2",2.80263557958061
"Pancreatic Cancer","MOB1B",2.80263557958061
"Pancreatic Cancer","FRMD1",2.80263557958061
"Pancreatic Cancer","MPDZ",2.80263557958061
"Pancreatic Cancer","WWC1",2.80263557958061
"Pancreatic Cancer","LNX1",2.80263557958061
"Pancreatic Cancer","EFNB3",2.80263557958061
"Pancreatic Cancer","MTNR1A",2.80263557958061
"Pancreatic Cancer","RRH",2.80263557958061
"Esophageal cancer","SOX18",2.77574642898373
"Bile duct cancer","IFNAR2",2.77456986798656
"Bile duct cancer","TBX4",2.77456986798656
"Bile duct cancer","SCAMP1",2.77456986798656
"Bile duct cancer","MTBP",2.77456986798656
"Bile duct cancer","OSBP",2.77456986798656
"Bile duct cancer","OSBP2",2.77456986798656
"Bile duct cancer","AGR3",2.77456986798656
"Bile duct cancer","RNASE2",2.77456986798656
"Bile duct cancer","SOBP",2.77456986798656
"Bile duct cancer","TAS1R3",2.77456986798656
"Bile duct cancer","SEC23A",2.77456986798656
"Bile duct cancer","MLNR",2.77456986798656
"Bile duct cancer","PPHLN1",2.77456986798656
"Bile duct cancer","PRR11",2.77456986798656
"Esophageal cancer","CASK",2.75999807201559
"Esophageal cancer","OSR1",2.75999807201559
"Esophageal cancer","OSR2",2.75999807201559
"Esophageal cancer","ANKRD6",2.75999807201559
"Esophageal cancer","VSIG1",2.75999807201559
"Esophageal cancer","IFNAR2",2.75999807201559
"Esophageal cancer","MTNR1B",2.75999807201559
"Pancreatic Cancer","SOX18",2.75384541541118
"Pancreatic Cancer","NHLH1",2.68485254392423
"Pancreatic Cancer","TPH1",2.68485254392423
"Bile duct cancer","HLA-C",2.66920935232873
"Esophageal cancer","ARSI",2.64221503635921
"Esophageal cancer","E2F8",2.64221503635921
"Esophageal cancer","PPBP",2.64221503635921
"Esophageal cancer","ACOT8",2.64221503635921
"Esophageal cancer","DSE",2.64221503635921
"Esophageal cancer","OPA3",2.64221503635921
"Esophageal cancer","RHCG",2.64221503635921
"Esophageal cancer","NFIL3",2.64221503635921
"Esophageal cancer","MGAT2",2.64221503635921
"Esophageal cancer","COX6C",2.64221503635921
"Esophageal cancer","MCM4",2.64221503635921
"Esophageal cancer","HOXC9",2.64221503635921
"Esophageal cancer","HOXC4",2.64221503635921
