"Gene","Bile duct cancer","Colorectal cancer","Esophageal cancer","Liver cancer","Pancreatic Cancer","Stomach cancer","total"
"IFNAR2",2.85062294642421,0,2.77246148092496,1.72569629234199,2.61527231125155,2.04456395549879,12.0086169864415
"NEAT1",2.44515783831605,0.964398266270998,2.30637175100036,1.20244814857744,2.14918258132695,1.63909884739063,10.7066574328824
"DZIP1L",0,1.55218493117312,3.11730196721669,0,2.96011279754328,2.45002906360696,10.07962875954
"EFNB3",0,1.55218493117312,3.11730196721669,0,2.96011279754328,2.45002906360696,10.07962875954
"MTNR1A",0,1.55218493117312,3.11730196721669,0,2.96011279754328,2.45002906360696,10.07962875954
"RRH",0,1.55218493117312,3.11730196721669,0,2.96011279754328,2.45002906360696,10.07962875954
"SOX18",0,1.28025121568948,2.84536825173305,0,2.91132263337385,2.40123889943753,9.4381810002339
"FAT3",0,0.704887070785914,2.27000410682949,1.16608050440657,2.80596211771602,2.2958783837797,9.24281218351769
"RHOU",0,1.31857007999161,2.01868967854858,0.975390697942096,2.6442598481248,2.267707506813,9.2246178114201
"ANKRD6",0,1.26450285872134,2.82961989476491,0,2.6724307250915,2.267707506813,9.03426098539075
"MTNR1B",0,1.26450285872134,2.82961989476491,0,2.77779124074932,2.16234699115518,9.03426098539075
"RYK",0,0.905557766248065,2.37536462248732,1.04829746875018,2.40049700960786,1.97045598334507,8.70017285043849
"FAT2",0,0.571355678161391,2.24183322986279,1.03254911178204,2.6724307250915,2.16234699115518,8.6805157360529
"OSR1",0,0,3.11730196721669,0,2.96011279754328,2.45002906360696,8.52744382836693
"CELSR1",0,1.14671982306495,2.6064763434507,0,2.44928717377729,2.04456395549879,8.24704729579174
"CELSR2",0,1.14671982306495,2.6064763434507,0,2.44928717377729,2.04456395549879,8.24704729579174
"CELSR3",0,1.14671982306495,2.6064763434507,0,2.44928717377729,2.04456395549879,8.24704729579174
"DZIP1",0,1.22676253073849,2.42415478665675,0,2.37232613264116,2.19871463532605,8.22195808536245
"STK36",0,1.22676253073849,2.42415478665675,0,2.37232613264116,2.19871463532605,8.22195808536245
"WNT9B",0,0.876429493325041,2.29312652425034,0,2.58062317583838,2.25712539748247,8.00730459089623
"JAG1",0,1.18927943748375,1.65578418485921,0.723710839362951,2.25236681756218,2.02258504878002,7.84372632804812
"SOX7",0,1.00011634887308,2.39338312798999,0,2.45933750963079,1.94925377569447,7.80209076218833
"OSR2",0,0,2.82961989476491,0,2.6724307250915,2.267707506813,7.76975812666941
"JAG2",0,1.11035217889408,2.01868967854858,0,2.35793739518906,2.23871996993975,7.72569922257147
"AHCYL1",3.25608805453237,0,0,2.01337836479377,0,2.45002906360696,7.7194954829331
"WISP1",-0.615112956375516,0.939080458286708,2.07931430036502,0.914766076125661,2.45620761662186,1.91103256287427,7.685288057898
"DMC1",0,0,3.11730196721669,2.01337836479377,0,2.45002906360696,7.58070939561742
"PRICKLE2",0,0.964398266270998,2.42415478665675,0,2.26696561698333,1.86224239870484,7.51776106861592
"PPBP",0,1.14671982306495,2.71183685910853,1.60791325668561,0,2.04456395549879,7.51103389435788
"EFNA4",0,1.14671982306495,2.6064763434507,-0.69467183630844,2.44928717377729,1.93920343984097,7.44701494382547
"FRMD1",0,0,0,2.01337836479377,2.96011279754328,2.45002906360696,7.42352022594401
"FRMD6",0,0,0,2.01337836479377,2.96011279754328,2.45002906360696,7.42352022594401
"LNX1",0,0,0,2.01337836479377,2.96011279754328,2.45002906360696,7.42352022594401
"MOB1B",0,0,0,2.01337836479377,2.96011279754328,2.45002906360696,7.42352022594401
"WWC1",0,0,0,2.01337836479377,2.96011279754328,2.45002906360696,7.42352022594401
"WWC2",0,0,0,2.01337836479377,2.96011279754328,2.45002906360696,7.42352022594401
"DVL1",0,0.898258463766453,2.05791039170186,0.740412688980883,2.00992051399344,1.56652815455579,7.27303021299844
"FRAT2",0,0.453572642505007,2.01868967854858,0,2.55464768943511,2.19871463532605,7.22562464581476
"DAAM1",0,0.704887070785914,2.27000410682949,0,2.40049700960786,1.80340189868191,7.17879008590516
"DAAM2",0,0.704887070785914,2.27000410682949,0,2.40049700960786,1.80340189868191,7.17879008590516
"PCDH10",0,0.859037750613171,2.52951530231457,-0.183846212542449,2.14918258132695,1.81094910431729,7.16483852602954
"EFNA5",0,0.859037750613171,2.42415478665675,-0.183846212542449,2.26696561698333,1.75688188304701,7.12319382475782
"BICC1",3.07376649773842,0,0,1.83105680799982,0,2.16234699115518,7.06717029689341
"FAT4",-0.240419506934106,0.252901947042856,1.92337949874426,0.819455896321336,2.35397699397296,1.89796048130692,7.00725531045423
"ADAMTS9",0,1.55218493117312,0,0,2.96011279754328,2.45002906360696,6.96232679232335
"HELT",0,1.55218493117312,0,0,2.96011279754328,2.45002906360696,6.96232679232335
"MOB1A",0.548037853430165,0,0.409251766114483,1.60791325668561,2.44928717377729,1.93920343984097,6.95369348984851
"FZD7",0,0.527680614658729,1.9794689653953,0.875545362972379,1.82227979572189,1.73090639664375,6.93588113539205
"KIF27",0,0.79004487912622,1.91332916289076,0,2.26696561698333,1.93920343984097,6.90954309884128
"KIF7",0,0.79004487912622,1.91332916289076,0,2.26696561698333,1.93920343984097,6.90954309884128
"AMN",1.7520106577561,0.271251085711052,1.61322457044042,0.509300968017496,1.67917895208121,0.945951666830685,6.77091790083697
"NKD2",0,1.1844601510478,2.39817930025349,-1.65018328133588,2.59238801741796,2.18766479913947,6.71250898652284
"ROR2",0,0.731204379103287,2.01868967854858,0.18079690104546,2.00992051399344,1.77012710979703,6.71073858248781
"E2F8",0,0.964398266270998,2.42415478665675,1.52090187969598,0,1.75688188304701,6.66633681567073
"EFNA3",0,0.964398266270998,2.01868967854858,0.326979411223542,1.966861024533,1.35141677493885,6.62834515551497
"LRP5",0,0.644627879267716,1.84683942162192,0.860698854855385,1.91279380326272,1.35141677493885,6.61637673394659
"CASP3",0,0.859037750613171,2.42415478665675,1.42559169989165,0,1.86224239870484,6.57102663586641
"FZD5",0,0.527680614658729,1.65096489842327,0,2.1869229093098,2.04456395549879,6.41013237789059
"NKD1",0,1.18181114287622,2.27000410682949,-1.7242912534896,2.51828004526424,2.07965527531006,6.32545931679042
"NAA10",0,0.215161619060009,2.56523338491665,0,1.89135347202485,1.61610932916593,6.28785780516744
"BHLHE40",0,1.26450285872134,0,0,2.77779124074932,2.16234699115518,6.20464109062584
"LRP6",0,0.533615350178544,1.88515828592406,0.732444519331706,1.67917895208121,1.35141677493885,6.18181388245437
"ROR1",0,0.607723322332265,1.7310076060968,0,1.94154321654871,1.86224239870484,6.14251654368261
"NRG4",0,1.14671982306495,2.01868967854858,0.914766076125661,0,2.04456395549879,6.12473953323799
"HES7",0,1.38788187988184,0,0,2.45933750963079,2.24935836814481,6.09657775765744
"VANGL2",0,0.271251085711052,1.7310076060968,0,2.26696561698333,1.81094910431729,6.08017341310848
"EEF2",0,1.3473905185271,0,0,2.43686465377873,2.19871463532605,5.98296980763189
"KRT13",2.27525880152065,0.571355678161391,0,1.13790962743987,1.97928354453155,0,5.96380765165346
"WNT11",0,1.10416020864616,2.09873238622212,-1.57014057366234,2.26696561698333,2.04456395549879,5.94428159368806
"VSIG1",0,1.04135930740713,2.71183685910853,0,0,2.13987413530312,5.89307030181877
"HES5",0,1.30087050289221,0,0,2.37232613264116,2.19871463532605,5.87191127085942
"PRICKLE1",0,0.81024758644374,2.27000410682949,-1.03114407292965,2.11281493715608,1.70809171887758,5.87001427637723
"CASK",0,1.26450285872134,2.82961989476491,-0.47152828499423,0,2.16234699115518,5.7849414596472
"CUL2",0,1.26450285872134,0.632395317428693,1.72569629234199,0,2.16234699115518,5.7849414596472
"FAT1",0,0.0788791930635965,1.7310076060968,0.444762446879925,1.97928354453155,1.52326703186551,5.75719982243739
"HES4",0,1.14671982306495,0,0,2.64995786923944,1.93920343984097,5.73588113214536
"WNT8A",0,0.342347007394783,1.27147527671836,0,2.05255574563788,2.04456395549879,5.71094198524982
"EFNB1",-0.145109327129781,0.715936906972498,1.91332916289076,0,1.75613999321734,1.44672695474317,5.68702369069399
"GH2",0,1.04135930740713,0,0,2.55464768943511,2.04456395549879,5.64057095234103
"GIPC2",0,1.04135930740713,0,0,2.50335439504756,2.09335411966823,5.63806782212292
"GIPC3",0,1.04135930740713,0,0,2.50335439504756,2.09335411966823,5.63806782212292
"FOXL1",0,0.117100405883794,1.68221744192737,0,2.26696561698333,1.54557278937981,5.61185625417431
"SUFU",0,0.58710403512953,1.7775276217317,0,1.62033845205828,1.60273120321976,5.58770131213926
"PLAGL2",0.36571629663621,-1.33818682672305,2.42415478665675,0,2.26696561698333,1.86224239870484,5.58089227225808
"HEY2",0,1.22082779521867,0,0,2.24099013058007,2.11867192765252,5.58048985345126
"EFNA1",0,0.654243337967158,2.12405019420641,-0.589311320650613,1.966861024533,1.35141677493885,5.5072600109948
"FSCN1",0,0.514197264321442,1.95415115741101,0.493552611049357,1.28613636397161,1.21788538231433,5.46592277906775
"SEMA4C",0,0.741254714956788,2.30637175100036,0,0.762888220207059,1.63909884739063,5.44961353355484
"DVL2",0,0.694734699321895,1.81801898308643,0,1.66082981341302,1.25610659513452,5.42969009095587
"SCAMP1",2.85062294642421,0,0,0,2.55464768943511,0,5.40527063585932
"TBX4",2.85062294642421,0,0,0,2.55464768943511,0,5.40527063585932
"DKK4",0,0.964398266270998,0,0.914766076125661,1.966861024533,1.552087470401,5.39811283733065
"FZD3",0,0.946049127602801,0,0,2.35397699397296,2.08901571806963,5.38904183964539
"DVL3",0,0.676716193819217,2.24183322986279,-1.16467546555418,1.97928354453155,1.57456032625306,5.30771782891245
"HES3",0,1.05970844607532,0,0,2.46763631244548,1.75688188304701,5.28422664156782
"RPL37",0,1.26450285872134,0,1.83105680799982,0,2.16234699115518,5.25790665787633
"ZC3H12A",0,1.36986337437916,0,1.72569629234199,0,2.16234699115518,5.25790665787633
