"Cancer","Gene","correlation"
"Bile duct cancer","BTC",0.204372537218332
"Liver cancer","AFP",0.116231921135247
"Stomach cancer","MET",0.114832516737693
"Pancreatic Cancer","CA1",0.113910946138906
"Colorectal cancer","DCC",0.106165413449006
"Liver cancer","GPC3",0.0923072355290744
"Colorectal cancer","BRAF",0.0886310577863501
"Stomach cancer","CDH1",0.0751901296702419
"Esophageal cancer","C2orf40",0.0751869685787651
"Colorectal cancer","MLH1",0.0705206418349221
"Bile duct cancer","MET",0.0705105262589135
"Liver cancer","SARNP",0.0698548371072779
"Bile duct cancer","HBD",0.0683043064913374
"Colorectal cancer","DLD",0.0668358171585073
"Bile duct cancer","NCAM1",0.0662315106371224
"Pancreatic Cancer","CA11",0.0661607687506573
"Bile duct cancer","KRT17",0.0641532098730585
"Esophageal cancer","MET",0.0616220765235986
"Esophageal cancer","CASK",0.0601339339579866
"Esophageal cancer","NODAL",0.0591113539824962
"Pancreatic Cancer","MUC4",0.0589209924810558
"Pancreatic Cancer","ENPP1",0.0584785940036678
"Stomach cancer","AFP",0.0579100215145937
"Stomach cancer","SALL4",0.0575095386212199
"Bile duct cancer","BICC1",0.0570267347330571
"Bile duct cancer","MUC5AC",0.0568103628814166
"Colorectal cancer","CA4",0.0566577658979017
"Bile duct cancer","PIK3C2G",0.0560721964367431
"Colorectal cancer","MET",0.0552963417928452
"Bile duct cancer","CAPNS1",0.0543953845410677
"Stomach cancer","RUNX3",0.0542906062017688
"Pancreatic Cancer","CA2",0.0535678881185752
"Bile duct cancer","AHCYL1",0.0534865912006357
"Pancreatic Cancer","SP4",0.0531675711771176
"Colorectal cancer","MSH2",0.0515989003282344
"Bile duct cancer","GEM",0.0510060766859467
"Esophageal cancer","CKS2",0.0500444630378059
"Pancreatic Cancer","SMAD4",0.0497451241710285
"Bile duct cancer","PBK",0.0494757179912739
"Pancreatic Cancer","CXCR1",0.049442199562111
"Esophageal cancer","NAA10",0.0491774848833692
"Pancreatic Cancer","CDKN2A",0.0490078855702174
"Pancreatic Cancer","BRCA2",0.0489902515917501
"Esophageal cancer","YAP1",0.0487069076715249
"Esophageal cancer","CKS1B",0.0474680030831387
"Stomach cancer","CDH17",0.0465572628701874
"Pancreatic Cancer","U2AF1",0.0462621710338075
"Pancreatic Cancer","NPTX2",0.0437275966608184
"Esophageal cancer","TMPRSS11A",0.0432587351276289
"Bile duct cancer","IDH1",0.0431135278793111
"Liver cancer","GOLPH3",0.0428604860417233
"Esophageal cancer","ANGPTL2",0.0427314390633618
"Bile duct cancer","KRT20",0.0424452380291228
"Liver cancer","CLTC",0.0424439883977652
"Liver cancer","TPTE",0.0419264306321345
"Bile duct cancer","MUC6",0.0414434559125345
"Bile duct cancer","SEC23A",0.0405585650200984
"Colorectal cancer","HOPX",0.0404607599414003
"Pancreatic Cancer","MSLN",0.0403845514938905
"Esophageal cancer","TRIB1",0.0398643781781632
"Colorectal cancer","CA1",0.0394628560988648
"Pancreatic Cancer","CCR6",0.0393909898163986
"Stomach cancer","IL1RN",0.0393105849433905
