"Cancer","Gene","cosine"
"Bile duct cancer","BTC",0.146794372533493
"Esophageal cancer","MET",0.117183707244252
"Colorectal cancer","MET",0.109545037182756
"Stomach cancer","MET",0.0995883039670511
"Colorectal cancer","ALB",0.0958847251388647
"Bile duct cancer","MET",0.089083550706559
"Esophageal cancer","NODAL",0.083157277746176
"Pancreatic Cancer","CA1",0.0786405130203796
"Colorectal cancer","EGF",0.0740993880189871
"Colorectal cancer","CA1",0.0699713595149544
"Colorectal cancer","DLD",0.0693231616424116
"Liver cancer","AFP",0.0684258013027405
"Colorectal cancer","CA4",0.0649296256545938
"Colorectal cancer","DCC",0.0635089148061511
"Colorectal cancer","BRAF",0.061944066943014
"Stomach cancer","CDH1",0.0599011472570769
"Pancreatic Cancer","MET",0.058365627493895
"Colorectal cancer","MLH1",0.0558912191910251
"Bile duct cancer","GEM",0.0553726297842165
"Colorectal cancer","CTNNB1",0.0551105701692118
"Colorectal cancer","EGFR",0.0549627569054127
"Pancreatic Cancer","EGF",0.0531990607416677
"Liver cancer","SARNP",0.0530857368205392
"Stomach cancer","EGF",0.0514322943396222
"Colorectal cancer","MSH2",0.051161527583684
"Stomach cancer","ERBB2",0.0503836391076533
"Pancreatic Cancer","SMAD4",0.0467790195379483
"Pancreatic Cancer","CDKN2A",0.0424741590088106
"Colorectal cancer","BAX",0.0399174304833873
"Pancreatic Cancer","ENPP1",0.0394133023051805
"Bile duct cancer","NODAL",0.0393064353107533
"Stomach cancer","CDH17",0.0388802043896264
"Colorectal cancer","TP53",0.0381601478064208
"Colorectal cancer","CD4",0.0379833841052668
"Colorectal cancer","BCL2",0.0364014138765616
"Stomach cancer","AFP",0.036375086177968
"Colorectal cancer","INS",0.0363324158505693
"Colorectal cancer","MSH6",0.0362196651499317
"Pancreatic Cancer","CA2",0.0352446771173963
"Pancreatic Cancer","PEMT",0.0352071227291025
"Colorectal cancer","FAS",0.0350794338240309
"Pancreatic Cancer","MUC4",0.034883440681985
"Stomach cancer","BCL2",0.0347083125910712
"Pancreatic Cancer","CA11",0.0346543216310876
"Liver cancer","GPC3",0.0342486288305128
"Colorectal cancer","F3",0.0340365890091457
"Liver cancer","AKT1",0.0336931854070327
"Colorectal cancer","CAT",0.0328696684721723
"Esophageal cancer","BLM",0.0326971467212369
"Pancreatic Cancer","BRCA2",0.0323959711928533
"Pancreatic Cancer","EGFR",0.0317273072049942
"Colorectal cancer","CA11",0.0316175452396378
"Colorectal cancer","MUTYH",0.0314743066390097
"Stomach cancer","IL1RN",0.0311373536474639
"Colorectal cancer","VDR",0.0310313171531646
"Stomach cancer","RUNX3",0.0309345508053117
"Colorectal cancer","CA3",0.0309345144376788
"Liver cancer","MET",0.0309318658308898
"Pancreatic Cancer","AKT1",0.0306992223909838
"Colorectal cancer","AKT1",0.0303804289807269
"Colorectal cancer","TYMS",0.0303676410674067
"Stomach cancer","PSCA",0.0296477076366306
"Stomach cancer","BAX",0.0285193601852485
"Liver cancer","BCL2",0.0284897547321245
"Colorectal cancer","MTHFR",0.0279881842654698
"Stomach cancer","CD4",0.0272315990828314
"Esophageal cancer","CRP",0.0271683000112985
"Bile duct cancer","HBD",0.0269936288672419
"Esophageal cancer","NAA10",0.0268885284143821
"Pancreatic Cancer","PDHX",0.0268868827074551
"Bile duct cancer","ABCG8",0.0267525639284034
"Liver cancer","ELANE",0.0266185879005211
"Colorectal cancer","NAT2",0.0265468822050547
"Pancreatic Cancer","CD4",0.0263851269652558
"Stomach cancer","PCNA",0.0257535331008686
"Pancreatic Cancer","CCK",0.0257264689358358
"Stomach cancer","AKT1",0.0254184603130023
"Colorectal cancer","TCF7L2",0.0254146083634446
"Pancreatic Cancer","NPTX2",0.025240096166582
"Stomach cancer","ALB",0.0251162087981004
"Stomach cancer","IL31",0.024503247740637
"Colorectal cancer","PTGS2",0.0244566036243676
"Colorectal cancer","SDS",0.0243602526975915
"Colorectal cancer","KRAS",0.0242679803159637
"Stomach cancer","FGFR2",0.0237465722064202
"Stomach cancer","NODAL",0.0233964672075312
"Bile duct cancer","AANAT",0.0232003496907533
"Pancreatic Cancer","SIM1",0.0231048491023704
"Pancreatic Cancer","PRSS1",0.0231041607456666
"Liver cancer","CLTC",0.0230294254146811
"Pancreatic Cancer","ALB",0.0229698226549523
"Colorectal cancer","CD44",0.0229160884008227
"Liver cancer","GPC1",0.0228296583043976
"Bile duct cancer","CA1",0.0226953347083345
"Pancreatic Cancer","MANF",0.0226847609368728
"Colorectal cancer","PIK3CA",0.0226714637860628
"Colorectal cancer","MMP7",0.0224207796122055
"Esophageal cancer","C2orf40",0.0222216090934845
"Bile duct cancer","IDH1",0.0219138234443256
"Stomach cancer","CD34",0.021912840927239
"Pancreatic Cancer","MSLN",0.0218917856743014
"Liver cancer","CTNNB1",0.0214952605935667
"Colorectal cancer","MUC2",0.021472986347915
"Stomach cancer","GKN1",0.021304761614571
"Pancreatic Cancer","CFTR",0.0211970383146378
"Stomach cancer","PTEN",0.0211899402649623
"Pancreatic Cancer","PTF1A",0.0211799910109961
"Colorectal cancer","CDH17",0.0211751428923621
"Bile duct cancer","AFP",0.0210680896213265
"Colorectal cancer","BCL2L1",0.0210402609206433
"Bile duct cancer","HBA2",0.0210022540774067
"Liver cancer","PCNA",0.0209864448031451
"Pancreatic Cancer","CXCR4",0.0208553882183786
"Bile duct cancer","MRAP",0.0208532604506258
"Colorectal cancer","HLA-A",0.0208338925852475
"Liver cancer","HLA-H",0.0208037372764439
"Pancreatic Cancer","DCK",0.0207578890953877
"Pancreatic Cancer","SHH",0.0206539129142075
"Bile duct cancer","MUC5AC",0.0206535489864046
"Stomach cancer","CISH",0.0205898808174645
"Liver cancer","MAPK8",0.0204798330907399
"Liver cancer","PNPLA3",0.0203745403613246
"Bile duct cancer","PEMT",0.0202214754948621
"Colorectal cancer","MGMT",0.0201851745687485
"Esophageal cancer","EGF",0.0200742616664288
"Stomach cancer","IL10",0.0200678279146444
"Esophageal cancer","ESD",0.0200113498089164
"Colorectal cancer","SMAD4",0.0199442919644825
"Stomach cancer","MUC6",0.0198385037387971
"Colorectal cancer","PMS2",0.019836193737775
"Pancreatic Cancer","AGL",0.0198115791492326
"Pancreatic Cancer","PNLIPRP2",0.0198100210081813
"Pancreatic Cancer","ARPC2",0.0198041563734604
"Stomach cancer","FAS",0.0198041476653144
"Stomach cancer","MUC2",0.0197970204350017
"Pancreatic Cancer","KRAS",0.0197232551533144
"Pancreatic Cancer","CA4",0.0196683462029297
"Colorectal cancer","ABCB1",0.0196530656663788
"Pancreatic Cancer","SPEN",0.0196051145742937
"Bile duct cancer","CETP",0.0195294983549891
"Colorectal cancer","MYC",0.0194133473575723
"Pancreatic Cancer","TNNT1",0.0193893810782662
"Colorectal cancer","MAPK8",0.0193795637353091
"Liver cancer","NRAS",0.0189871422526568
"Esophageal cancer","PLCE1",0.0189730235118246
"Colorectal cancer","CDKN1A",0.0189626241173959
"Colorectal cancer","IL2",0.0188295376938362
"Colorectal cancer","MCC",0.0188270069084629
"Colorectal cancer","EPCAM",0.0188199001700742
"Colorectal cancer","IMPACT",0.0187842513068945
"Esophageal cancer","TLX3",0.0187771055588841
"Pancreatic Cancer","RASA4",0.0187649790289487
"Colorectal cancer","AXIN2",0.0186711717917244
"Stomach cancer","GSTP1",0.0186629364958493
"Liver cancer","CCL16",0.0186333521875512
"Pancreatic Cancer","SLC2A4",0.0185323307070886
"Pancreatic Cancer","KSR1",0.0184838792818963
"Pancreatic Cancer","ICAM2",0.0184838792818963
"Pancreatic Cancer","RCAN1",0.0184838792818963
"Pancreatic Cancer","SLC44A4",0.0184838792818963
"Pancreatic Cancer","LRP2",0.0184838792818963
"Esophageal cancer","GIF",0.018455236834553
"Pancreatic Cancer","TRPC6",0.0184448844603802
"Pancreatic Cancer","FANCC",0.0183403038778667
"Colorectal cancer","CDX2",0.0183039752788325
"Colorectal cancer","CRP",0.018285718606313
"Stomach cancer","EGFR",0.0182227877017307
"Stomach cancer","CDX2",0.0181722645488909
"Pancreatic Cancer","CXCL12",0.0181540116178474
"Colorectal cancer","TGFBR2",0.0181268561719941
"Esophageal cancer","ARSA",0.0181126976446161
"Stomach cancer","PEMT",0.0180913224208726
"Liver cancer","M6PR",0.0180662451309826
"Pancreatic Cancer","DUSP6",0.0180159918915992
"Colorectal cancer","GSTP1",0.0180130937580336
"Bile duct cancer","MFAP5",0.0180019320663486
"Colorectal cancer","ZHX2",0.0179103518771558
"Colorectal cancer","GSK3B",0.0178963167903059
"Pancreatic Cancer","CXCR1",0.0178130616130532
"Colorectal cancer","BIRC5",0.017812418212246
"Stomach cancer","ABO",0.0177759390934527
"Esophageal cancer","BCL2",0.0177720259491068
"Esophageal cancer","EVPL",0.0177466276479835
