"Gene","Bile duct cancer","Colorectal cancer","Esophageal cancer","Liver cancer","Pancreatic Cancer","Stomach cancer","total"
"MET",1706,5632,1877,1334,1463,3238,15250
"EGF",193,2131,297,135,653,766,4175
"CA1",227,1702,181,138,859,213,3320
"EGFR",134,1321,182,63,353,316,2369
"ALB",66,1220,85,149,222,332,2074
"AKT1",86,647,107,440,256,250,1786
"CD4",88,756,108,111,221,311,1595
"BCL2",69,503,113,302,124,265,1376
"NODAL",259,260,486,60,48,257,1370
"CTNNB1",25,570,25,191,43,92,946
"AFP",120,50,22,525,47,138,902
"BAX",41,382,64,126,51,172,836
"MLH1",9,738,12,6,15,40,820
"TP53",72,398,83,19,95,116,783
"CDH17",22,262,35,114,64,266,763
"CD44",38,355,28,34,119,164,738
"CDKN2A",52,210,48,101,177,109,697
"BRAF",30,573,9,13,15,23,663
"PEMT",130,153,26,54,170,101,634
"F3",35,338,46,42,65,88,614
"MSH2",7,535,10,6,18,34,610
"CA11",5,316,27,11,185,35,579
"DCC",22,438,13,9,28,44,554
"PTEN",39,204,31,116,44,103,537
"SMAD4",35,166,12,40,203,44,500
"CAT",42,245,44,37,58,70,496
"CA4",0,383,7,15,65,24,494
"DLD",2,417,1,15,10,7,452
"CA2",15,178,22,13,176,37,441
"MUC2",86,157,9,23,52,112,439
"CD34",40,128,60,37,26,140,431
"MAPK8",7,170,15,138,40,56,426
"INS",16,252,16,27,61,46,418
"MTOR",29,117,45,103,57,39,390
"CDH1",12,88,20,6,18,244,388
"VIM",49,97,33,100,52,49,380
"BCL2L1",10,162,12,100,51,44,379
"MSH6",7,325,2,2,12,22,370
"FAS",17,200,10,16,42,59,344
"MYC",15,166,31,14,33,82,341
"IL2",11,160,7,77,26,56,337
"PCNA",33,90,9,101,14,89,336
"ERBB2",22,68,43,4,18,175,330
"CDX2",46,144,10,17,23,86,326
"CRP",19,124,82,18,17,54,314
"TNFSF10",13,137,7,98,33,20,308
"BTC",266,7,2,13,11,6,305
"PIK3CA",23,183,27,17,11,30,291
"CCK",28,87,31,8,70,66,290
"CLC",11,128,27,55,37,32,290
"MMP9",17,83,14,76,33,65,288
"MUC5AC",76,62,6,17,46,78,285
"BIRC5",12,122,10,57,38,39,278
"ZHX2",15,139,6,57,38,15,270
"BRCA1",6,128,15,3,69,41,262
"HLA-A",8,139,18,4,37,50,256
"RUNX3",10,72,8,18,10,131,249
"MGMT",13,139,26,15,6,47,246
"MKI67",22,89,17,57,21,38,244
"CA3",6,161,10,11,46,7,241
"FOXP3",15,86,18,56,23,41,239
"BRCA2",9,65,10,6,125,19,234
"CDKN1A",1,114,9,56,20,28,228
"AGA",16,87,26,18,30,49,226
"KRT20",64,82,5,28,21,25,225
"IL6",13,82,17,58,17,34,221
"POR",33,77,25,16,29,37,217
"ARC",16,84,32,13,26,42,213
"EPCAM",20,95,6,54,20,15,210
"HIF1A",7,77,16,46,32,22,200
"TGFB1",6,76,9,46,32,30,199
"TYMS",2,126,14,11,10,29,192
"TNS1",10,72,11,56,12,27,188
"RAC1",5,88,6,30,30,26,185
"CCS",20,91,17,17,12,17,174
"MMP7",9,101,7,12,15,30,174
"SARNP",8,4,2,154,4,2,174
"IGF2-AS",2,82,5,66,2,14,171
"MDM2",11,51,21,46,17,25,171
"MUC6",44,24,3,10,21,68,170
"RHOA",1,65,6,32,24,42,170
"MTHFR",0,99,24,5,3,38,169
"KRT7",56,36,6,44,17,8,167
"CDKN1B",5,66,7,39,20,29,166
"PTGS2",7,103,6,19,5,26,166
"SDS",5,102,8,4,16,31,166
"GEM",81,25,3,5,39,11,164
"XIAP",0,73,11,43,23,13,163
"ADA",7,63,15,8,28,40,161
"GSTP1",4,70,17,28,3,38,160
"IL1B",9,69,5,36,13,28,160
"PMS2",4,150,1,0,3,2,160
"CYP1A1",15,49,27,41,8,15,155
"NOTCH1",13,35,14,40,31,20,153
"MAPK3",8,62,8,31,14,28,151
"CDK4",8,75,18,2,26,19,148
"MAP2K1",5,66,8,27,24,17,147
"FHIT",11,36,34,22,8,34,145
"SMAD3",2,48,9,39,23,23,144
"GRP",2,75,8,5,23,30,143
"MCL1",14,49,5,46,18,11,143
"NAT2",1,101,6,14,7,14,143
"SRC",5,77,15,5,16,25,143
"KRAS",5,86,0,7,38,6,142
"VDR",1,127,8,2,2,2,142
"CCNE1",2,45,10,45,12,26,140
"MUTYH",1,130,1,0,1,7,140
"CCND1",3,53,25,26,13,18,138
"CCL2",2,84,6,13,14,18,137
"ATM",4,70,11,4,24,20,133
"IGF1R",6,51,8,32,22,12,131
"KRT19",35,16,2,57,12,7,129
"TCF7L2",2,99,7,12,1,6,127
"ZEB1",9,41,12,18,31,16,127
"ERCC1",3,54,26,3,6,34,126
"GSK3B",4,71,7,29,4,11,126
