#filename	date	concept_num	concept
19675098	2009-12-02	CLOCK	1
19675098	2009-12-02	BAX	2
19675098	2009-12-02	BCL2	1
1394036	1992-11-09	TFPI	5
21970876	2011-11-09	AKT1	1
20116405	2010-03-16	AKT1	2
20116405	2010-03-16	MTOR	6
20116405	2010-03-16	RICTOR	2
20116405	2010-03-16	IGF1R	1
17032197	2006-10-11	MUC4	9
19287123	2009-03-16	DPYD	7
19287123	2009-03-16	TYMS	1
12593846	2003-02-20	IGF1R	1
16093438	2005-08-11	HTRA2	5
16093438	2005-08-11	ENPP1	1
24984703	2014-08-19	GPRC5A	5
24984703	2014-08-19	KIR2DL4	4
14762439	2004-02-05	SMAD2	1
14762439	2004-02-05	SMAD4	10
14762439	2004-02-05	CDKN1A	3
19091121	2009-01-19	PFAS	6
19091121	2009-01-19	DSG2	12
19091121	2009-01-19	DSG3	1
1864595	1991-09-06	VIM	2
1864595	1991-09-06	CD14	1
10680837	2000-03-16	IL2	1
10630172	2000-01-20	CDKN2A	4
17230504	2007-03-13	TGFB1	5
17230504	2007-03-13	GADD45B	2
23475955	2013-06-11	BCL2	3
23475955	2013-06-11	BCL2L1	4
20664591	2010-08-24	AKT1	2
18191814	2008-02-11	HIF1A	1
18191814	2008-02-11	AKT1	3
19360740	2009-10-19	CDKN2A	4
11688991	2001-11-05	STRA13	1
11688991	2001-11-05	NLK	7
11688991	2001-11-05	GPI	2
23438477	2013-02-26	MUC5AC	2
8708394	1996-09-06	ITGAV	1
8708394	1996-09-06	VTN	3
22200682	2012-01-09	MVD	1
15847061	2005-04-25	TERT	1
20442301	2010-05-11	HSPB1	1
20442301	2010-05-11	PKD1	6
20442301	2010-05-11	NTS	2
15652956	2005-01-17	CCR6	5
23864708	2013-08-30	HOXA5	3
14681945	2003-12-18	MUC2	9
14681945	2003-12-18	PEMT	12
10226545	1999-05-20	NTS	6
19587310	2009-08-31	SSTR2	1
20153729	2010-03-15	RAC1	3
23954013	2013-10-21	MRE11	6
23954013	2013-10-21	RAD50	4
15155719	2004-08-09	IGF1	1
15155719	2004-08-09	CYBB	1
15155719	2004-08-09	NOX4	3
19307926	2009-03-24	PDHX	2
19307926	2009-03-24	RPL10	3
19307926	2009-03-24	NEUROD1	4
19307926	2009-03-24	DLK1	3
19307926	2009-03-24	NEUROG3	3
15104296	2004-04-23	ENO2	4
15104296	2004-04-23	VHL	4
15104296	2004-04-23	CALB2	1
15104296	2004-04-23	PEMT	2
