#filename	date	concept_num	concept
19675098	2009-12-02	Pancreatic Cancer	6
19675098	2009-12-02	Liver cancer	2
19666268	2009-08-11	Pancreatic Cancer	1
19666268	2009-08-11	Esophageal cancer	1
19666268	2009-08-11	Stomach cancer	1
19666268	2009-08-11	Colorectal cancer	1
19666268	2009-08-11	Liver cancer	1
1394036	1992-11-09	Pancreatic Cancer	4
22287729	2012-01-30	Pancreatic Cancer	1
22287729	2012-01-30	Stomach cancer	1
21970876	2011-11-09	Pancreatic Cancer	5
3458035	1986-06-13	Pancreatic Cancer	6
20116405	2010-03-16	Pancreatic Cancer	1
25075011	2014-07-30	Pancreatic Cancer	7
17032197	2006-10-11	Pancreatic Cancer	5
19287123	2009-03-16	Pancreatic Cancer	2
12593846	2003-02-20	Pancreatic Cancer	2
6222789	1983-08-11	Pancreatic Cancer	1
6222789	1983-08-11	Colorectal cancer	1
17379424	2007-08-20	Pancreatic Cancer	8
16093438	2005-08-11	Pancreatic Cancer	1
24984703	2014-08-19	Pancreatic Cancer	1
14762439	2004-02-05	Pancreatic Cancer	2
8766529	1996-09-13	Pancreatic Cancer	5
10436788	1999-09-09	Pancreatic Cancer	7
19091121	2009-01-19	Pancreatic Cancer	7
1864595	1991-09-06	Pancreatic Cancer	3
21311318	2011-02-11	Pancreatic Cancer	1
19957796	2009-12-04	Pancreatic Cancer	3
10680837	2000-03-16	Pancreatic Cancer	7
10630172	2000-01-20	Pancreatic Cancer	1
20350215	2010-03-30	Pancreatic Cancer	3
17230504	2007-03-13	Pancreatic Cancer	5
23475955	2013-06-11	Pancreatic Cancer	2
20150619	2010-02-12	Pancreatic Cancer	4
20664591	2010-08-24	Pancreatic Cancer	5
9311445	1997-11-20	Pancreatic Cancer	5
18191814	2008-02-11	Pancreatic Cancer	3
19360740	2009-10-19	Pancreatic Cancer	4
9259404	1997-09-03	Pancreatic Cancer	5
11688991	2001-11-05	Pancreatic Cancer	6
23438477	2013-02-26	Pancreatic Cancer	4
22200682	2012-01-09	Pancreatic Cancer	2
15847061	2005-04-25	Pancreatic Cancer	2
20442301	2010-05-11	Pancreatic Cancer	9
15652956	2005-01-17	Pancreatic Cancer	2
23864708	2013-08-30	Pancreatic Cancer	2
21894436	2011-09-28	Pancreatic Cancer	8
10226545	1999-05-20	Pancreatic Cancer	1
19587310	2009-08-31	Pancreatic Cancer	1
11244949	2001-03-13	Pancreatic Cancer	4
20153729	2010-03-15	Pancreatic Cancer	3
23954013	2013-10-21	Pancreatic Cancer	4
22895640	2012-09-12	Pancreatic Cancer	1
22895640	2012-09-12	Colorectal cancer	5
22258068	2012-06-14	Pancreatic Cancer	5
