#filename	date	concept_num	concept
11519041	2001-08-23	MGMT	15
20712855	2010-08-27	MTSS1	12
20712855	2010-08-27	NODAL	3
11454985	2001-07-16	HFE2	1
19048182	2009-05-20	HIF1A	5
19048182	2009-05-20	BCL2	3
19048182	2009-05-20	BAX	3
17376510	2007-05-18	MLH1	2
17376510	2007-05-18	SMAD4	1
17376510	2007-05-18	RASSF1	1
17376510	2007-05-18	CDKN1B	2
17376510	2007-05-18	CASR	2
17376510	2007-05-18	CDKN2B	1
17376510	2007-05-18	CDKN2A	4
17376510	2007-05-18	CHFR	3
17376510	2007-05-18	CTNNB1	1
17376510	2007-05-18	DAPK1	2
17376510	2007-05-18	CCNE1	1
23916544	2013-10-04	HSD17B1	7
23916544	2013-10-04	EPGN	7
22203730	2012-02-10	BCL2L1	1
22203730	2012-02-10	JAK2	1
25040744	2014-09-25	KLF8	14
25040744	2014-09-25	HIF1A	2
25040744	2014-09-25	BCL2	1
25040744	2014-09-25	BAX	1
25040744	2014-09-25	OCA2	1
22535324	2012-06-27	CDH17	1
9614382	1998-06-11	CD101	1
1972685	1990-07-31	IL2	6
23985250	2013-08-29	HMGB1	11
12823157	2003-06-25	PTGS1	1
12823157	2003-06-25	GSTM1	1
12823157	2003-06-25	PTGS2	4
23725178	2013-06-03	IL10	1
20054823	2010-02-01	CTRL	1
17629031	2007-07-16	CCR7	19
19856312	2010-03-30	TNFSF10	1
16509869	2006-03-02	MUC5AC	2
16509869	2006-03-02	MUC2	2
16509869	2006-03-02	PEMT	4
16509869	2006-03-02	MUC6	4
16773196	2006-06-14	SPRY4	2
16773196	2006-06-14	FRS3	1
16773196	2006-06-14	FRS2	1
16773196	2006-06-14	ZHX2	2
16773196	2006-06-14	GAB1	2
16773196	2006-06-14	FGF18	1
16773196	2006-06-14	PTPN11	1
22289522	2012-01-31	MMP9	6
21557705	2011-07-11	PDPK1	1
19661089	2009-08-07	ERCC5	2
20737421	2011-09-02	MUC5AC	1
20737421	2011-09-02	CCNE1	1
20737421	2011-09-02	MUC2	1
20737421	2011-09-02	PEMT	1
19351608	2009-04-08	NUCB2	10
10692769	2000-03-28	GPNMB	1
10692769	2000-03-28	CDH17	11
10692769	2000-03-28	CTNNA1	4
10692769	2000-03-28	MSH6	1
10692769	2000-03-28	CTNNB1	4
21376060	2011-04-13	NFKBIA	9
22307328	2012-03-01	A4GNT	4
20038531	2010-02-12	RAB3D	4
20038531	2010-02-12	RAB26	5
15312528	2004-08-17	HPSE	7
17164366	2006-12-13	CYP1A1	3
17164366	2006-12-13	CYP1A2	2
20880168	2010-09-30	IL1RN	1
20880168	2010-09-30	IL31	1
16925606	2006-08-23	TLR9	1
15837757	2005-04-19	XRCC5	1
15837757	2005-04-19	ERCC4	1
15837757	2005-04-19	ERCC1	1
21664058	2011-07-04	ATG5	11
21334998	2011-05-30	PIAS3	8
18410404	2008-05-30	RUNX3	12
9852207	1999-03-16	IL2	1
18243529	2008-03-31	CTNNB1	2
