#filename	date	concept_num	concept
11519041	2001-08-23	Stomach cancer	4
24044375	2013-11-15	Stomach cancer	3
20712855	2010-08-27	Stomach cancer	5
7956692	1994-12-23	Esophageal cancer	6
12479070	2002-12-13	Stomach cancer	7
19048182	2009-05-20	Stomach cancer	5
17376510	2007-05-18	Stomach cancer	5
23916544	2013-10-04	Stomach cancer	8
20373075	2010-04-07	Stomach cancer	6
21173787	2012-03-27	Stomach cancer	3
17074247	2006-10-31	Stomach cancer	8
22203730	2012-02-10	Stomach cancer	4
25040744	2014-09-25	Stomach cancer	8
22535324	2012-06-27	Stomach cancer	9
9614382	1998-06-11	Stomach cancer	2
1972685	1990-07-31	Stomach cancer	2
23985250	2013-08-29	Stomach cancer	1
12823157	2003-06-25	Stomach cancer	1
23725178	2013-06-03	Stomach cancer	9
20054823	2010-02-01	Stomach cancer	6
17629031	2007-07-16	Stomach cancer	5
19856312	2010-03-30	Stomach cancer	3
16509869	2006-03-02	Stomach cancer	5
19948396	2010-02-03	Stomach cancer	1
19948396	2010-02-03	Bile duct cancer	1
16773196	2006-06-14	Stomach cancer	2
22289522	2012-01-31	Stomach cancer	4
21557705	2011-07-11	Stomach cancer	7
19661089	2009-08-07	Stomach cancer	6
20737421	2011-09-02	Stomach cancer	12
19351608	2009-04-08	Stomach cancer	6
23333058	2013-04-24	Stomach cancer	12
10692769	2000-03-28	Stomach cancer	1
10692769	2000-03-28	Colorectal cancer	3
10692769	2000-03-28	Liver cancer	1
16293220	2006-03-27	Stomach cancer	1
21376060	2011-04-13	Stomach cancer	14
22307328	2012-03-01	Stomach cancer	3
20038531	2010-02-12	Stomach cancer	1
16784986	2006-06-20	Stomach cancer	4
15312528	2004-08-17	Stomach cancer	6
23355156	2013-06-12	Stomach cancer	3
23704827	2013-05-24	Stomach cancer	9
17164366	2006-12-13	Stomach cancer	1
9508539	1998-03-13	Stomach cancer	2
15309882	2004-08-16	Stomach cancer	5
20880168	2010-09-30	Stomach cancer	7
16925606	2006-08-23	Stomach cancer	1
15837757	2005-04-19	Stomach cancer	2
21664058	2011-07-04	Stomach cancer	1
21664058	2011-07-04	Colorectal cancer	1
21664058	2011-07-04	Liver cancer	4
23508453	2013-03-19	Stomach cancer	2
24743367	2014-04-18	Stomach cancer	3
16061854	2005-08-02	Stomach cancer	6
23307253	2013-01-11	Stomach cancer	4
21689422	2011-07-22	Stomach cancer	4
21334998	2011-05-30	Stomach cancer	6
18410404	2008-05-30	Stomach cancer	1
9852207	1999-03-16	Stomach cancer	3
18243529	2008-03-31	Stomach cancer	4
16171822	2006-01-03	Stomach cancer	1
11798940	2002-01-18	Stomach cancer	2
20193034	2010-05-21	Stomach cancer	5
23554857	2013-04-04	Stomach cancer	6
18506370	2008-05-28	Stomach cancer	3
24299308	2014-01-29	Stomach cancer	5
18296917	2008-07-09	Stomach cancer	4
21789020	2011-07-26	Stomach cancer	5
21789020	2011-07-26	Colorectal cancer	6
21475899	2011-04-08	Stomach cancer	5
21694488	2011-06-22	Stomach cancer	1
21694488	2011-06-22	Colorectal cancer	1
10414502	1999-08-03	Stomach cancer	2
