CHOL(386),COCA(2005),ESCA(514),LIHC(1163),PAAD(389),STAD(928),3149 all,44 common,cooccurence(5955)
MUC1,APC,EGFR,MYC,SMAD4,ERBB2,MUC1,MUC5AC,MGMT
PEMT,KRAS,BAX,AKT1,CDKN2A,EGFR,PEMT,ERBB2,MTSS1
AFP,CTNNB1,APC,CTNNB1,BRCA2,BCL2,AFP,TP53,NODAL
AKT1,BRAF,ERBB2,CASP3,MTOR,AKT1,AKT1,CDKN2A,HFE2
MUC5AC,PTGS2,TP53,MET,CTNNB1,MYC,MUC5AC,PTGS2,HIF1A
ERBB2,MYC,CTNNB1,IL6,ERBB2,CDH1,ERBB2,KRT7,BCL2
TP53,BCL2,CDKN2A,HGF,CASP3,MET,TP53,APC,BAX
CDKN2A,DCC,MTOR,JUN,TP53,CTNNB1,CDKN2A,BRAF,MLH1
PTGS2,EGF,PTGS2,FAS,MUC4,PTGS2,PTGS2,SMAD4,SMAD4
KRT7,MET,FHIT,EGF,IGF1,PCNA,KRT7,PIK3CA,RASSF1
VIM,CD44,PTEN,CD4,SHH,CD44,VIM,DCC,CDKN1B
PTEN,CASP3,BLM,MTOR,PTGS2,CASP3,PTEN,ARID1A,CASR
APC,SRC,PIK3CA,GPC3,CXCL12,RUNX3,APC,NOTCH1,CDKN2B
BRAF,TP53,GSTP1,CD34,APC,MMP9,BRAF,RUNX3,CDKN2A
HGF,EPHB2,PCNA,IGF2,PODXL,APC,HGF,SFRP1,CHFR
IDH1,FAS,KRAS,PTEN,MAP2K4,CDKN2A,IDH1,DPYD,CTNNB1
FAS,IL6,ADH1B,CDKN2A,IFNG,PTEN,FAS,EZH2,DAPK1
SMAD4,CD4,PLCE1,PTGS2,MUC5AC,EPHB2,SMAD4,BRCA2,CCNE1
CD4,PCNA,ANXA2,TNFSF10,SMO,CDX2,CD4,CDH2,HSD17B1
KRT19,PTEN,FOXP3,MVD,TGFBR2,TFF1,KRT19,TGFBR2,EPGN
MAPK3,NODAL,CDK4,TERT,MDM2,MUC5AC,MAPK3,WWOX,BCL2L1
EPCAM,PIK3CA,LMOD1,IL1B,NOTCH1,TP53,EPCAM,NF1,JAK2
PIK3CA,CDKN2A,IGF1,ELANE,FN1,MTOR,PIK3CA,TLR4,KLF8
ANXA2,ERBB2,TYMS,APC,PDCD1,MUC6,ANXA2,ABCB1,OCA2
FGFR2,CDKN1A,BRCA1,RHO,ATM,TYMS,FGFR2,NOTCH3,CDH17
CYP1A1,TCF7L2,NOTCH1,TP53,NGF,KRAS,CYP1A1,PTCH1,CD101
DCC,MMP9,CDK2,RB1,BRAF,CDKN1A,DCC,MAL,IL2
MUC4,MTOR,BRAF,FOS,EZH2,TERT,MUC4,CXCL12,HMGB1
HLA-A,BCL2L1,VEGFC,HLF,DCC,GSTM1,HLA-A,IGF1,PTGS1
ARID1A,IL1B,SDHA,FN1,TGFBR1,FGFR2,ARID1A,DLC1,GSTM1
MGMT,IL2,CASP8,CCNE1,ERBB3,CCK,MGMT,FOXM1,PTGS2
MSH2,MUC2,IFNG,ANXA2,CDH2,MSH2,MSH2,ABCC1,IL10
BCL2L1,IGF1,ALB,CYP1A1,CXCR2,FOS,BCL2L1,TOP2A,CTRL
RAB3D,SMAD4,FLG,IL10,MUC6,SMAD4,RAB3D,SNAI1,CCR7
NOTCH1,TNFSF10,MAL,CCND1,PIK3CA,FHIT,NOTCH1,DCLK1,TNFSF10
BIRC5,MUC1,MSH2,E2F1,PRSS1,CCKBR,BIRC5,NAT2,MUC5AC
BAP1,IGF2,TTR,KRAS,CFTR,FOXP3,BAP1,ATM,MUC2
MME,CDX2,BRCA2,BIRC5,CDH1,IFNG,MME,SFRP2,PEMT
SPP1,IL10,DCC,CCNB1,SNAI1,PIK3CA,SPP1,FLT3,MUC6
CCND1,NTN1,FN1,IGF1,STK11,IL4,CCND1,SOX17,SPRY4
RUNX3,GSTM1,SMAD4,CDH1,PTCH1,BIRC5,RUNX3,PRKDC,FRS3
SFRP1,BIRC5,TGFBR2,FGF2,TNS1,BRCA1,SFRP1,PROX1,FRS2
DPYD,PTGS1,TNS1,CYP2E1,VEGFC,TLR4,DPYD,APOA1,ZHX2
EZH2,FN1,MUC2,DLC1,KRT7,PLAU,EZH2,TIAM1,GAB1
CYP1A2,BRCA1,CCNE1,KRT19,TLR4,TFF2,CYP1A2,,FGF18
SRC,CAMP,CYP2A6,ADM,LPA,CCNE1,SRC,,PTPN11
BRCA2,MMP7,C2orf40,IGF1R,MUC16,CCND1,BRCA2,,MMP9
CDH2,NAT2,CD80,ALB,CSF1,DNMT1,CDH2,,PDPK1
TGFBR2,CCND1,PDCD4,MAT1A,WNT3A,PSCA,TGFBR2,,ERCC5
F2R,TGFBR2,PLK1,PEMT,FGFR1,DCC,F2R,,NUCB2
ABCG2,CA2,ATM,PPARA,RUNX3,CXCL12,ABCG2,,GPNMB
TP73,CDKN1B,TLR4,CDK1,TRPC6,TIMP1,TP73,,CTNNA1
ABCC2,CDK2,IGF2,EPO,ALK,BRAF,ABCC2,,MSH6
RPL3,CDH1,BIRC5,TGFA,EPHA2,EZH2,RPL3,,NFKBIA
SHH,GSTP1,CCNB1,NOTCH1,MAP3K1,TNS1,SHH,,A4GNT
SOX9,CRP,CDK6,SMAD4,TGFB2,FN1,SOX9,,RAB3D
SPARC,CSF2,AURKA,TGFBR2,RAD51,EPCAM,SPARC,,RAB26
WWOX,CDK4,DNMT1,NQO1,SFRP1,DPYD,WWOX,,HPSE
DAPK1,PI3,EZH2,EZH2,ABCB1,TFF3,DAPK1,,CYP1A1
NF1,FOXP3,FBXW7,VEGFA,IRS1,MMP1,NF1,,CYP1A2
